Name,iso,counter,year,id,PPG stock,PPG Bi,PPG bonds,PPG multi,PPG Off,PPG Prv,Multilateral ($ million),Bilateral ($ million),Bonds ($ million),Other private ($ million),INT ($ million),AMT ($ million),PPG stock ($ million)
Afghanistan,AFG,World,2021,AFG2021,1907966305.20,988723549.80,0.00,919242755.40,1907966305.20,..,919.24,988.72,0.00,0.00,5.18,14.05,1907.97
Afghanistan,AFG,World,2022,AFG2022,..,..,0.00,..,..,..,872.35,987.05,0.00,0.00,2.98,9.04,1859.40
Afghanistan,AFG,World,2023,AFG2023,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,31.59,91.27,0.00
Afghanistan,AFG,World,2024,AFG2024,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,World,2025,AFG2025,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,World,2026,AFG2026,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,World,2027,AFG2027,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,World,2028,AFG2028,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,World,2029,AFG2029,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2000,ALB2000,920960202.70,472908694.80,0.00,426052514.80,898961209.60,21998993.10,426.05,472.91,0.00,22.00,7.37,9.15,920.96
Albania,ALB,World,2001,ALB2001,970052069.10,509248017.90,0.00,439267871.30,948515889.20,21536179.90,439.27,509.25,0.00,21.54,9.63,8.38,970.05
Albania,ALB,World,2002,ALB2002,994817253.80,391338397.60,0.00,581639389.20,972977786.80,21839467.00,581.64,391.34,0.00,21.84,17.26,20.12,994.82
Albania,ALB,World,2003,ALB2003,1231771684.10,469324118.80,0.00,737830854.90,1207154973.70,24616710.40,737.83,469.32,0.00,24.62,15.06,26.19,1231.77
Albania,ALB,World,2004,ALB2004,1399398801.20,503575223.10,0.00,872754782.50,1376330005.60,23068795.60,872.75,503.58,0.00,23.07,20.09,37.39,1399.40
Albania,ALB,World,2005,ALB2005,1372154320.10,481974470.20,0.00,868250264.70,1350224734.90,21929585.20,868.25,481.97,0.00,21.93,23.16,40.13,1372.15
Albania,ALB,World,2006,ALB2006,1574574789.90,538778135.70,0.00,1012363312.20,1551141447.90,23433342.00,1012.36,538.78,0.00,23.43,24.76,57.17,1574.57
Albania,ALB,World,2007,ALB2007,1784599695.40,585684606.90,0.00,1177666348.60,1763350955.50,21248739.90,1177.67,585.68,0.00,21.25,31.03,55.43,1784.60
Albania,ALB,World,2008,ALB2008,2293726087.30,585851541.20,79326900.00,1293946781.90,1879798323.10,413927764.20,1293.95,585.85,79.33,334.60,43.94,57.52,2293.73
Albania,ALB,World,2009,ALB2009,2874058234.30,666164400.60,82114200.00,1467493141.90,2133657542.50,740400691.80,1467.49,666.16,82.11,658.29,71.42,79.88,2874.06
Albania,ALB,World,2010,ALB2010,3210131111.30,653938987.50,477023400.00,1520727985.40,2174666972.90,1035464138.40,1520.73,653.94,477.02,558.44,66.21,174.23,3210.13
Albania,ALB,World,2011,ALB2011,3365051003.30,644889021.60,556377000.00,1666977843.80,2311866865.40,1053184137.90,1666.98,644.89,556.38,496.81,105.46,190.39,3365.05
Albania,ALB,World,2012,ALB2012,3547863788.00,666936694.40,567342000.00,1872153435.60,2539090130.00,1008773658.00,1872.15,666.94,567.34,441.43,101.15,190.95,3547.86
Albania,ALB,World,2013,ALB2013,3755990648.10,688650082.80,593013000.00,2005338407.40,2693988490.20,1062002157.90,2005.34,688.65,593.01,468.99,71.61,123.94,3755.99
Albania,ALB,World,2014,ALB2014,3665061486.80,653643040.00,522063000.00,2094244813.30,2747887853.30,917173633.50,2094.24,653.64,522.06,395.11,79.29,175.85,3665.06
Albania,ALB,World,2015,ALB2015,3844243189.60,640799052.90,631446000.00,1945585196.80,2586384249.70,1257858939.90,1945.59,640.80,631.45,626.41,89.63,499.65,3844.24
Albania,ALB,World,2016,ALB2016,3760800782.10,642008544.00,611378000.00,1890223930.70,2532232474.70,1228568307.40,1890.22,642.01,611.38,617.19,83.62,191.31,3760.80
Albania,ALB,World,2017,ALB2017,4335422394.00,704920658.90,695594000.00,2279305592.90,2984226251.80,1351196142.20,2279.31,704.92,695.59,655.60,83.45,221.74,4335.42
Albania,ALB,World,2018,ALB2018,4334363163.30,674641488.10,717571500.00,2362216835.20,3036858323.30,1297504840.00,2362.22,674.64,717.57,579.93,119.24,554.00,4334.36
Albania,ALB,World,2019,ALB2019,4160002469.30,665680800.80,642247780.00,2338366659.90,3004047460.70,1155955008.60,2338.37,665.68,642.25,513.71,95.41,263.12,4160.00
Albania,ALB,World,2020,ALB2020,4896459664.30,707598310.10,1116292870.00,2546773313.60,3254371623.70,1642088040.60,2546.77,707.60,1116.29,525.80,96.22,537.17,4896.46
Albania,ALB,World,2021,ALB2021,5291908912.60,772594235.70,1429680980.00,2638846438.30,3411440674.00,1880468238.60,2638.51,772.59,1441.01,450.79,102.01,369.50,5302.90
Albania,ALB,World,2022,ALB2022,..,..,0.00,..,..,..,2536.86,789.92,1141.55,391.19,128.05,282.94,4859.52
Albania,ALB,World,2023,ALB2023,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,154.68,441.86,0.00
Albania,ALB,World,2024,ALB2024,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2025,ALB2025,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2026,ALB2026,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2027,ALB2027,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2028,ALB2028,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Albania,ALB,World,2029,ALB2029,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2000,DZA2000,23353958638.90,13390226256.30,0.00,4113849925.60,17504076181.90,5849882457.00,4113.85,13390.23,0.00,5849.88,1552.08,2719.38,23353.96
Algeria,DZA,World,2001,DZA2001,20869481309.50,12309452072.10,0.00,3962520840.30,16271972912.40,4597508397.10,3962.52,12309.45,0.00,4597.51,1333.20,2814.11,20869.48
Algeria,DZA,World,2002,DZA2002,21318628653.00,12906808215.40,0.00,3880460780.00,16787268995.40,4531359657.60,3880.46,12906.81,0.00,4531.36,1163.98,2589.18,21318.63
Algeria,DZA,World,2003,DZA2003,21886748998.20,13342425971.50,0.00,4115465671.50,17457891643.00,4428857355.20,4115.47,13342.43,0.00,4428.86,1055.15,2769.73,21886.75
Algeria,DZA,World,2004,DZA2004,20432059902.00,12804664081.00,0.00,3508202162.60,16312866243.60,4119193658.40,3508.20,12804.66,0.00,4119.19,984.79,4118.32,20432.06
Algeria,DZA,World,2005,DZA2005,15516210412.60,10147590572.40,0.00,2442600449.10,12590191021.50,2926019391.10,2442.60,10147.59,0.00,2926.02,863.74,4218.93,15516.21
Algeria,DZA,World,2006,DZA2006,3861100197.00,2085171304.40,0.00,144282474.50,2229453778.90,1631646418.10,144.28,2085.17,0.00,1631.65,557.65,12638.96,3861.10
Algeria,DZA,World,2007,DZA2007,4028919897.90,2300967267.10,0.00,135596394.70,2436563661.80,1592356236.10,135.60,2300.97,0.00,1592.36,145.58,605.56,4028.92
Algeria,DZA,World,2008,DZA2008,3294773388.10,2201668406.30,0.00,12887200.20,2214555606.50,1080217781.60,12.89,2201.67,0.00,1080.22,113.46,908.43,3294.77
Algeria,DZA,World,2009,DZA2009,3061890020.80,2186143620.80,0.00,11321675.00,2197465295.80,864424725.00,11.32,2186.14,0.00,864.42,74.95,387.81,3061.89
Algeria,DZA,World,2010,DZA2010,2662009109.60,1976272056.80,0.00,9671075.00,1985943131.80,676065977.80,9.67,1976.27,0.00,676.07,64.38,323.90,2662.01
Algeria,DZA,World,2011,DZA2011,2254593628.20,1725220012.50,0.00,8328000.00,1733548012.50,521045615.70,8.33,1725.22,0.00,521.05,57.70,415.10,2254.59
Algeria,DZA,World,2012,DZA2012,1647249779.90,1286359831.50,0.00,7182000.00,1293541831.50,353707948.40,7.18,1286.36,0.00,353.71,85.03,579.51,1647.25
Algeria,DZA,World,2013,DZA2013,1451912858.10,1200321758.40,0.00,1930000.00,1202251758.40,249661099.70,1.93,1200.32,0.00,249.66,37.69,261.58,1451.91
Algeria,DZA,World,2014,DZA2014,1124942499.00,948600969.90,0.00,1519000.00,950119969.90,174822529.10,1.52,948.60,0.00,174.82,27.84,210.61,1124.94
Algeria,DZA,World,2015,DZA2015,870194740.20,750567351.90,0.00,1117000.00,751684351.90,118510388.30,1.12,750.57,0.00,118.51,20.58,167.36,870.19
Algeria,DZA,World,2016,DZA2016,1652693647.40,630336936.80,0.00,949411856.70,1579748793.50,72944853.90,949.41,630.34,0.00,72.94,17.08,148.80,1652.69
Algeria,DZA,World,2017,DZA2017,1715902012.60,602888281.20,0.00,1079371273.20,1682259554.40,33642458.20,1079.37,602.89,0.00,33.64,26.50,139.75,1715.90
Algeria,DZA,World,2018,DZA2018,1522845953.90,481397864.80,0.00,1030860274.10,1512258138.90,10587815.00,1030.86,481.40,0.00,10.59,25.98,121.51,1522.85
Algeria,DZA,World,2019,DZA2019,1398178227.50,385587633.40,0.00,1007009542.90,1392597176.30,5581051.20,1007.01,385.59,0.00,5.58,22.99,92.54,1398.18
Algeria,DZA,World,2020,DZA2020,1436410001.50,338313482.80,0.00,1094936736.20,1433250219.00,3159782.50,1094.94,338.31,0.00,3.16,22.00,77.33,1436.41
Algeria,DZA,World,2021,DZA2021,1240365634.90,255508955.90,0.00,983973251.00,1239482206.90,883428.00,983.97,255.51,0.00,0.88,21.65,100.62,1240.36
Algeria,DZA,World,2022,DZA2022,..,..,0.00,..,..,..,860.38,195.24,0.00,0.06,17.83,107.46,1055.68
Algeria,DZA,World,2023,DZA2023,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,8.72,88.71,0.00
Algeria,DZA,World,2024,DZA2024,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2025,DZA2025,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2026,DZA2026,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2027,DZA2027,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2028,DZA2028,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,World,2029,DZA2029,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2000,AGO2000,8084844148.00,2369964230.00,0.00,294230256.20,2664194486.20,5420649661.80,294.23,2369.96,0.00,5420.65,149.43,1530.13,8084.84
Angola,AGO,World,2001,AGO2001,6982714292.10,1324957974.60,0.00,276207759.00,1601165733.60,5381548558.50,276.21,1324.96,0.00,5381.55,125.03,2083.96,6982.71
Angola,AGO,World,2002,AGO2002,7540350651.90,1747535355.00,0.00,315729509.20,2063264864.20,5477085787.70,315.73,1747.54,0.00,5477.09,140.04,1284.81,7540.35
Angola,AGO,World,2003,AGO2003,7634470053.70,1944934454.40,0.00,349231670.00,2294166124.40,5340303929.30,349.23,1944.93,0.00,5340.30,159.69,1316.59,7634.47
Angola,AGO,World,2004,AGO2004,8180879840.00,2935858704.10,0.00,379423474.80,3315282178.90,4865597661.10,379.42,2935.86,0.00,4865.60,166.04,1701.66,8180.88
Angola,AGO,World,2005,AGO2005,9532119023.40,2814880370.90,0.00,371006318.60,3185886689.50,6346232333.90,371.01,2814.88,0.00,6346.23,256.85,2288.86,9532.12
Angola,AGO,World,2006,AGO2006,7361981528.70,2155181255.50,0.00,402364533.60,2557545789.10,4804435739.60,402.36,2155.18,0.00,4804.44,820.59,3508.62,7361.98
Angola,AGO,World,2007,AGO2007,9240475948.20,2690172653.40,0.00,424212826.10,3114385479.50,6126090468.70,424.21,2690.17,0.00,6126.09,578.93,3783.73,9240.48
Angola,AGO,World,2008,AGO2008,12784883279.60,3464844903.90,0.00,428724314.10,3893569218.00,8891314061.60,428.72,3464.84,0.00,8891.31,443.53,1133.08,12784.88
Angola,AGO,World,2009,AGO2009,13739506332.20,4252613582.40,0.00,448363996.50,4700977578.90,9038528753.30,448.36,4252.61,0.00,9038.53,393.46,3138.33,13739.51
Angola,AGO,World,2010,AGO2010,15662044702.20,4301357222.80,0.00,444794285.30,4746151508.10,10915893194.10,444.79,4301.36,0.00,10915.89,176.67,2113.03,15662.04
Angola,AGO,World,2011,AGO2011,18239311146.90,4365582107.20,0.00,453756726.20,4819338833.40,13419972313.50,453.76,4365.58,0.00,13419.97,155.07,2646.71,18239.31
Angola,AGO,World,2012,AGO2012,20946751680.40,5008563958.30,1000000000.00,490715491.90,5499279450.20,15447472230.20,490.72,5008.56,0.00,14447.47,670.14,3654.59,19946.75
Angola,AGO,World,2013,AGO2013,26154786364.40,5988128553.10,1000000000.00,537926863.30,6526055416.40,19628730948.00,537.28,5988.13,0.00,18628.73,928.11,3993.59,25154.14
Angola,AGO,World,2014,AGO2014,33506431308.50,6851825265.10,1000000000.00,1147272399.60,7999097664.70,25507333643.80,1146.62,6851.83,0.00,24503.65,1190.20,5871.62,32502.09
Angola,AGO,World,2015,AGO2015,33861098899.50,7072210959.70,2500000000.00,1602358191.90,8674569151.60,25186529747.90,1601.71,7072.21,1500.00,22677.94,1266.85,5246.12,32851.86
Angola,AGO,World,2016,AGO2016,42043071286.40,7186740684.20,2500000000.00,2018419843.00,9205160527.20,32837910759.20,2017.77,7186.74,1500.00,30325.43,2288.21,7042.56,41029.94
Angola,AGO,World,2017,AGO2017,42920785355.00,7040539049.90,2500000000.00,2238985218.30,9279524268.20,33641261086.80,2238.34,7040.54,1500.00,31129.31,1291.05,6825.46,41908.19
Angola,AGO,World,2018,AGO2018,48094662744.10,8192904362.90,6000000000.00,2268442471.20,10461346834.10,37633315910.00,2267.75,8192.90,5000.00,31617.83,2337.73,6907.36,47078.48
Angola,AGO,World,2019,AGO2019,47616151524.50,6796265498.30,8000000000.00,2847278835.20,9643544333.50,37972607191.00,2846.58,6796.27,8000.00,29954.08,2479.81,7546.28,47596.93
Angola,AGO,World,2020,AGO2020,47386016736.30,6857069588.80,8000000000.00,3069388278.40,9926457867.20,37459558869.10,3068.69,6857.07,8000.00,29439.97,2408.05,4557.34,47365.74
Angola,AGO,World,2021,AGO2021,46739517876.50,6777335611.80,8000000000.00,3858275054.50,10635610666.30,36103907210.20,3857.24,6777.35,8000.00,28077.89,2129.28,6757.54,46712.47
Angola,AGO,World,2022,AGO2022,..,..,0.00,..,..,..,4559.04,5969.10,9114.41,28174.91,2476.60,6213.81,47817.46
Angola,AGO,World,2023,AGO2023,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,3703.08,8397.17,0.00
Angola,AGO,World,2024,AGO2024,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2025,AGO2025,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2026,AGO2026,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2027,AGO2027,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2028,AGO2028,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Angola,AGO,World,2029,AGO2029,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2000,ARG2000,90357824540.80,4157143983.80,69009376389.30,16499008327.00,20656152310.80,69701672230.00,16499.01,4157.14,69009.38,692.30,7895.80,6185.40,90357.82
Argentina,ARG,World,2001,ARG2001,86641606230.80,3235753309.90,64686399752.00,18155112180.20,21390865490.10,65250740740.70,18155.11,3235.75,64686.40,564.34,2525.95,7468.63,86641.61
Argentina,ARG,World,2002,ARG2002,90234099462.90,4466502825.60,68173889948.60,16945842120.60,21412344946.20,68821754516.70,16945.84,4466.50,68173.89,647.86,1180.64,2396.66,90234.10
Argentina,ARG,World,2003,ARG2003,96673899035.50,4861649972.10,74532458076.00,16527434000.00,21389083972.10,75284815063.40,16527.43,4861.65,74532.46,752.36,1160.94,5672.46,96673.90
Argentina,ARG,World,2004,ARG2004,103055442075.40,5073395435.00,80777355581.50,16407052000.00,21480447435.00,81574994640.40,16407.05,5073.40,80777.36,797.64,746.44,1837.04,103055.44
Argentina,ARG,World,2005,ARG2005,59419258383.00,4669633900.30,38347359631.80,15699113000.00,20368746900.30,39050511482.70,15699.11,4669.63,38347.36,703.15,1453.92,1724.37,59419.26
Argentina,ARG,World,2006,ARG2006,63381279800.30,5085949621.40,42431101174.50,15104101349.20,20190050970.60,43191228829.70,15104.10,5085.95,42431.10,760.13,1370.26,2634.31,63381.28
Argentina,ARG,World,2007,ARG2007,71086100933.00,5407061452.20,49408672464.60,15046209202.10,20453270654.30,50632830278.70,15046.21,5407.06,49408.67,1224.16,1678.11,3333.02,71086.10
Argentina,ARG,World,2008,ARG2008,70923520108.40,5645820669.00,49174781537.50,14902846957.40,20548667626.40,50374852482.00,14902.85,5645.82,49174.78,1200.07,2478.08,3395.51,70923.52
Argentina,ARG,World,2009,ARG2009,75796982671.20,6027997330.50,51276141120.60,16266924588.40,22294921918.90,53502060752.30,16266.92,6028.00,51276.14,2225.92,2030.91,5592.47,75796.98
Argentina,ARG,World,2010,ARG2010,69184226965.50,5858757180.20,44343530382.00,17015729871.50,22874487051.70,46309739913.80,17015.73,5858.76,44343.53,1966.21,2700.07,6034.88,69184.23
Argentina,ARG,World,2011,ARG2011,71538394036.70,5598122930.20,46324024268.50,17984631649.10,23582754579.30,47955639457.40,17984.63,5598.12,46324.02,1631.62,2455.78,5364.70,71538.39
Argentina,ARG,World,2012,ARG2012,70577681118.30,5270860249.70,45385770535.30,18360239200.80,23631099450.50,46946581667.80,18360.24,5270.86,45385.77,1560.81,2624.99,3479.26,70577.68
Argentina,ARG,World,2013,ARG2013,69886340560.70,5409894062.40,43596151582.10,19432108010.10,24842002072.50,45044338488.20,19432.11,5409.89,43596.15,1448.19,2649.99,4767.63,69886.34
Argentina,ARG,World,2014,ARG2014,76272835930.00,6905654224.00,46038664061.10,19870185893.00,26775840117.00,49496995813.00,19870.19,6905.65,46038.66,3458.33,5361.02,4747.40,76272.84
Argentina,ARG,World,2015,ARG2015,72820719758.10,7433417917.10,42709166290.30,19777560115.60,27210978032.70,45609741725.40,19777.56,7433.42,42709.17,2900.58,5145.67,6365.27,72820.72
Argentina,ARG,World,2016,ARG2016,106602868146.70,6502222884.70,77532498685.30,20236818497.20,26739041381.90,79863826764.80,20236.82,6502.22,77532.50,2331.33,12304.03,5363.22,106602.87
Argentina,ARG,World,2017,ARG2017,128246607700.90,6924278470.20,98094906228.70,21341847822.90,28266126293.10,99980481407.80,21341.85,6924.28,98094.91,1885.58,12433.49,17820.62,128246.61
Argentina,ARG,World,2018,ARG2018,135603275668.40,6052594065.60,105287097488.70,23005363677.80,29057957743.40,106545317925.00,23005.36,6052.59,105287.10,1258.22,10996.06,15786.74,135603.28
Argentina,ARG,World,2019,ARG2019,121319446011.10,5234553372.40,91239867376.90,23878720941.40,29113274313.80,92206171697.30,23878.72,5234.55,91239.87,966.30,8883.11,19296.43,121319.45
Argentina,ARG,World,2020,ARG2020,118035219208.70,4958690906.20,86536885174.50,25301157602.50,30259848508.70,87775370700.00,25301.16,4958.69,86536.89,1238.49,2483.89,8200.26,118035.22
Argentina,ARG,World,2021,ARG2021,114750440797.30,4304551631.80,82219449393.50,27106999885.10,31411551516.90,83338889280.40,27107.00,4304.55,82219.45,1119.44,1289.79,4472.56,114750.44
Argentina,ARG,World,2022,ARG2022,..,..,0.00,..,..,..,29787.18,5234.43,73775.20,454.80,1929.50,6068.53,109251.62
Argentina,ARG,World,2023,ARG2023,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,3315.37,29206.16,0.00
Argentina,ARG,World,2024,ARG2024,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2025,ARG2025,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2026,ARG2026,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2027,ARG2027,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2028,ARG2028,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,World,2029,ARG2029,..,..,0.00,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,World,2000,ARM2000,683904100.90,173204425.10,0.00,484916675.80,658121100.90,25783000.00,484.92,173.20,0.00,25.78,9.41,12.85,683.90
Armenia,ARM,World,2001,ARM2001,724381421.50,168379209.80,0.00,530120211.70,698499421.50,25882000.00,530.12,168.38,0.00,25.88,16.54,24.05,724.38
Armenia,ARM,World,2002,ARM2002,826354046.80,186714580.70,0.00,621176086.70,807890667.40,18463379.40,621.18,186.71,0.00,18.46,18.51,29.84,826.35
Armenia,ARM,World,2003,ARM2003,879093011.90,128196028.10,0.00,747045672.80,875241700.90,3851311.00,747.05,128.20,0.00,3.85,10.39,61.05,879.09
Armenia,ARM,World,2004,ARM2004,962207800.50,111414091.30,0.00,847761960.10,959176051.40,3031749.10,847.76,111.41,0.00,3.03,8.42,51.95,962.21
Armenia,ARM,World,2005,ARM2005,924306167.70,113081982.00,0.00,807952356.00,921034338.00,3271829.70,807.95,113.08,0.00,3.27,9.05,15.90,924.31
Armenia,ARM,World,2006,ARM2006,1039840661.70,131095560.60,0.00,904692982.80,1035788543.40,4052118.30,904.69,131.10,0.00,4.05,9.28,16.87,1039.84
Armenia,ARM,World,2007,ARM2007,1285698946.00,240395263.10,0.00,1040586701.80,1280981964.90,4716981.10,1040.59,240.40,0.00,4.72,9.75,16.97,1285.70
Armenia,ARM,World,2008,ARM2008,1448904337.20,333341818.60,0.00,1111135172.10,1444476990.70,4427346.50,1111.14,333.34,0.00,4.43,11.14,14.95,1448.90
Armenia,ARM,World,2009,ARM2009,2378651326.30,948182850.30,0.00,1426880130.20,2375062980.50,3588345.80,1426.88,948.18,0.00,3.59,22.95,21.16,2378.65
Armenia,ARM,World,2010,ARM2010,2559562283.80,1042456841.20,0.00,1513380206.00,2555837047.20,3725236.60,1513.38,1042.46,0.00,3.73,35.13,23.85,2559.56
Armenia,ARM,World,2011,ARM2011,2739931450.70,1086088351.00,0.00,1648121717.80,2734210068.80,5721381.90,1648.12,1086.09,0.00,5.72,37.91,28.49,2739.93
Armenia,ARM,World,2012,ARM2012,2959497707.20,1080609508.70,0.00,1862684467.60,2943293976.30,16203730.90,1862.68,1080.61,0.00,16.20,43.44,30.01,2959.50
Armenia,ARM,World,2013,ARM2013,3315622405.40,542549225.30,700000000.00,2051885037.30,2594434262.60,721188142.80,2051.89,542.55,700.00,21.19,41.68,536.82,3315.62
Armenia,ARM,World,2014,ARM2014,3380303018.50,493711001.00,700000000.00,2162240349.30,2655951350.30,724351668.20,2162.24,493.71,700.00,24.35,71.40,41.84,3380.30
Armenia,ARM,World,2015,ARM2015,3997978273.10,488859643.40,1000072000.00,2466195204.20,2955054847.60,1042923425.50,2466.20,488.86,1000.07,42.85,100.11,259.70,3997.98
Armenia,ARM,World,2016,ARM2016,4471742570.30,598930524.10,1000072000.00,2823957099.10,3422887623.20,1048854947.10,2823.96,598.93,1000.07,48.78,123.02,72.83,4471.74
Armenia,ARM,World,2017,ARM2017,5227511965.10,926634219.50,1000072000.00,3236760474.00,4163394693.50,1064117271.60,3236.76,926.63,1000.07,64.05,139.89,90.55,5227.51
Armenia,ARM,World,2018,ARM2018,5371183271.60,1031868685.40,1000072000.00,3277830288.30,4309698973.70,1061484297.90,3277.83,1031.87,1000.07,61.41,161.76,138.21,5371.18
Armenia,ARM,World,2019,ARM2019,5652421544.10,1144456312.30,1097657000.00,3351766734.50,4496223046.80,1156198497.30,3351.77,1144.46,1097.66,58.54,188.62,567.57,5652.42
Armenia,ARM,World,2020,ARM2020,5616375232.80,1154034476.30,1000000000.00,3401202646.00,4555237122.30,1061138110.50,3401.20,1154.03,1000.00,61.14,167.25,313.10,5616.38
Armenia,ARM,World,2021,ARM2021,6263174038.60,1125331068.40,1750000000.00,3334491412.10,4459822480.50,1803351558.10,3334.49,1125.33,1733.04,53.35,144.70,245.95,6246.21
