iso,id,year,GG debt (% of GDP),GG debt ($ million),,
ARG,ARG2004,2004,117.878,"194,393.8",,
ARG,ARG2005,2005,80.282,"159,980.3",,
ARG,ARG2006,2006,70.793,"164,871.2",,
ARG,ARG2007,2007,62.133,"178,894.0",,
ARG,ARG2008,2008,53.814,"195,638.1",,
ARG,ARG2009,2009,55.397,"185,376.6",,
ARG,ARG2010,2010,43.454,"184,561.7",,
ARG,ARG2011,2011,38.935,"205,438.2",,
ARG,ARG2012,2012,40.436,"234,393.7",,
ARG,ARG2013,2013,43.496,"265,965.4",,
ARG,ARG2014,2014,44.697,"251,918.5",,
ARG,ARG2015,2015,52.563,"337,698.4",,
ARG,ARG2016,2016,53.06,"295,424.3",,
ARG,ARG2017,2017,57.028,"367,181.1",,
ARG,ARG2018,2018,85.246,"447,056.5",,
ARG,ARG2019,2019,89.84,"401,371.0",,
ARG,ARG2020,2020,103.816,"399,917.9",,
ARG,ARG2021,2021,81.043,"393,901.4",,
ARG,ARG2022,2022,84.463,"534,074.8",,
ARG,ARG2023,2023,155.411,"1,003,195.1",,
ARG,ARG2024,2024,91.473,"552,846.3",,
ARG,ARG2025,2025,78.507,"450,788.0",,
ARM,ARM2000,2000,39.597,757.1,,
ARM,ARM2001,2001,38.061,806.1,,
ARM,ARM2002,2002,38.248,908.8,,
ARM,ARM2003,2003,33.016,926.8,,
ARM,ARM2004,2004,26.446,946.0,,
ARM,ARM2005,2005,24.405,"1,195.8",,
ARM,ARM2006,2006,18.725,"1,195.4",,
ARM,ARM2007,2007,16.102,"1,482.4",,
ARM,ARM2008,2008,16.145,"1,882.8",,
ARM,ARM2009,2009,40.161,"3,473.1",,
ARM,ARM2010,2010,39.667,"3,673.2",,
ARM,ARM2011,2011,42.006,"4,260.2",,
ARM,ARM2012,2012,41.225,"4,377.7",,
ARM,ARM2013,2013,40.856,"4,543.6",,
ARM,ARM2014,2014,43.689,"5,072.3",,
ARM,ARM2015,2015,48.702,"5,139.5",,
ARM,ARM2016,2016,56.749,"5,984.7",,
ARM,ARM2017,2017,58.938,"6,793.8",,
ARM,ARM2018,2018,55.652,"6,933.1",,
ARM,ARM2019,2019,53.673,"7,309.7",,
ARM,ARM2020,2020,67.362,"8,515.9",,
ARM,ARM2021,2021,63.354,"8,792.9",,
ARM,ARM2022,2022,49.246,"9,609.9",,
ARM,ARM2023,2023,50.723,"12,217.1",,
ARM,ARM2024,2024,52.424,"13,237.6",,
ARM,ARM2025,2025,55.639,"14,787.7",,
AZE,AZE2000,2000,13.133,692.5,,
AZE,AZE2001,2001,12.954,709.2,,
AZE,AZE2002,2002,11.885,740.7,,
AZE,AZE2003,2003,10.659,775.5,,
AZE,AZE2004,2004,9.71,843.0,,
AZE,AZE2005,2005,6.855,907.5,,
AZE,AZE2006,2006,5.297,"1,111.5",,
AZE,AZE2007,2007,4.003,"1,323.0",,
AZE,AZE2008,2008,3.221,"1,573.5",,
AZE,AZE2009,2009,4.726,"2,093.5",,
AZE,AZE2010,2010,4.981,"2,635.4",,
AZE,AZE2011,2011,4.967,"3,275.8",,
AZE,AZE2012,2012,5.831,"4,063.3",,
AZE,AZE2013,2013,6.179,"4,582.6",,
AZE,AZE2014,2014,8.533,"6,419.8",,
AZE,AZE2015,2015,17.98,"9,528.9",,
AZE,AZE2016,2016,20.608,"7,796.0",,
AZE,AZE2017,2017,22.509,"9,313.1",,
AZE,AZE2018,2018,18.685,"8,803.1",,
AZE,AZE2019,2019,17.656,"8,505.6",,
AZE,AZE2020,2020,21.327,"9,105.1",,
AZE,AZE2021,2021,26.349,"14,445.8",,
AZE,AZE2022,2022,17.324,"13,652.5",,
AZE,AZE2023,2023,21.829,"15,794.6",,
AZE,AZE2024,2024,20.483,"15,495.2",,
AZE,AZE2025,2025,20.308,"15,645.5",,
BGD,BGD2000,2000,,,,
BGD,BGD2001,2001,,,,
BGD,BGD2002,2002,,,,
BGD,BGD2003,2003,37.044,"26,580.9",,
BGD,BGD2004,2004,36.585,"28,226.1",,
BGD,BGD2005,2005,35.558,"28,279.3",,
BGD,BGD2006,2006,35.332,"30,395.4",,
BGD,BGD2007,2007,34.989,"33,370.4",,
BGD,BGD2008,2008,33.87,"37,177.4",,
BGD,BGD2009,2009,33.01,"40,523.1",,
BGD,BGD2010,2010,29.623,"40,907.6",,
BGD,BGD2011,2011,29.393,"45,293.7",,
BGD,BGD2012,2012,29.078,"46,451.8",,
BGD,BGD2013,2013,28.344,"50,927.4",,
BGD,BGD2014,2014,28.683,"59,403.1",,
BGD,BGD2015,2015,28.206,"65,913.8",,
BGD,BGD2016,2016,27.72,"73,523.4",,
BGD,BGD2017,2017,28.306,"83,150.3",,
BGD,BGD2018,2018,29.553,"94,977.1",,
BGD,BGD2019,2019,31.951,"112,224.1",,
BGD,BGD2020,2020,34.509,"129,029.8",,
BGD,BGD2021,2021,35.614,"148,248.6",,
BGD,BGD2022,2022,37.863,"174,245.9",,
BGD,BGD2023,2023,39.337,"177,619.9",,
BGD,BGD2024,2024,38.452,"173,598.5",,
BGD,BGD2025,2025,39.236,"189,061.0",,
BLR,BLR2000,2000,,,,
BLR,BLR2001,2001,,,,
BLR,BLR2002,2002,,,,
BLR,BLR2003,2003,,,,
BLR,BLR2004,2004,9.223,"2,206.9",,
BLR,BLR2005,2005,8.115,"2,535.0",,
BLR,BLR2006,2006,12.274,"4,691.0",,
BLR,BLR2007,2007,15.813,"7,402.9",,
BLR,BLR2008,2008,20.295,"12,744.9",,
BLR,BLR2009,2009,32.547,"16,551.8",,
BLR,BLR2010,2010,36.805,"21,059.8",,
BLR,BLR2011,2011,58.223,"35,730.3",,
BLR,BLR2012,2012,36.946,"24,262.1",,
BLR,BLR2013,2013,36.859,"27,827.1",,
BLR,BLR2014,2014,38.791,"30,542.5",,
BLR,BLR2015,2015,53.007,"29,858.3",,
BLR,BLR2016,2016,53.482,"25,512.5",,
BLR,BLR2017,2017,53.16,"29,090.7",,
BLR,BLR2018,2018,47.515,"28,514.2",,
BLR,BLR2019,2019,40.999,"26,409.1",,
BLR,BLR2020,2020,47.493,"29,118.9",,
BLR,BLR2021,2021,41.182,"28,089.0",,
BLR,BLR2022,2022,41.297,"30,078.7",,
BLR,BLR2023,2023,40.72,"29,233.7",,
BLR,BLR2024,2024,41.396,"30,272.5",,
BLR,BLR2025,2025,40.348,"31,016.7",,
BLZ,BLZ2000,2000,,,,
BLZ,BLZ2001,2001,51.418,580.5,,
BLZ,BLZ2002,2002,55.193,661.8,,
BLZ,BLZ2003,2003,69.364,878.8,,
BLZ,BLZ2004,2004,72.951,989.2,,
BLZ,BLZ2005,2005,75.159,"1,072.5",,
BLZ,BLZ2006,2006,71.649,"1,134.9",,
BLZ,BLZ2007,2007,66.716,"1,133.5",,
BLZ,BLZ2008,2008,64.911,"1,124.3",,
BLZ,BLZ2009,2009,70.001,"1,176.7",,
BLZ,BLZ2010,2010,68.807,"1,196.6",,
BLZ,BLZ2011,2011,66.683,"1,213.0",,
BLZ,BLZ2012,2012,63.717,"1,210.6",,
BLZ,BLZ2013,2013,63.197,"1,277.8",,
BLZ,BLZ2014,2014,61.923,"1,315.9",,
BLZ,BLZ2015,2015,64.987,"1,426.5",,
BLZ,BLZ2016,2016,70.426,"1,578.2",,
BLZ,BLZ2017,2017,78.094,"1,770.4",,
BLZ,BLZ2018,2018,78.82,"1,807.3",,
BLZ,BLZ2019,2019,78.495,"1,873.7",,
BLZ,BLZ2020,2020,103.044,"2,110.3",,
BLZ,BLZ2021,2021,82.346,"1,996.9",,
BLZ,BLZ2022,2022,67.079,"1,899.0",,
BLZ,BLZ2023,2023,66.833,"2,051.1",,
BLZ,BLZ2024,2024,62.277,"2,081.3",,
BLZ,BLZ2025,2025,60.756,"2,119.2",,
BEN,BEN2000,2000,39.592,"1,394.4",,
BEN,BEN2001,2001,37.987,"1,392.6",,
BEN,BEN2002,2002,30.768,"1,289.5",,
BEN,BEN2003,2003,23.381,"1,250.4",,
BEN,BEN2004,2004,21.51,"1,330.8",,
BEN,BEN2005,2005,26.978,"1,772.7",,
BEN,BEN2006,2006,8.366,588.5,,
BEN,BEN2007,2007,14.286,"1,167.2",,
BEN,BEN2008,2008,18.307,"1,791.7",,
BEN,BEN2009,2009,18.748,"1,823.8",,
BEN,BEN2010,2010,21,"2,004.0",,
BEN,BEN2011,2011,21.86,"2,337.1",,
BEN,BEN2012,2012,19.54,"2,178.3",,
BEN,BEN2013,2013,18.504,"2,316.3",,
BEN,BEN2014,2014,22.282,"2,960.8",,
BEN,BEN2015,2015,30.9,"3,519.2",,
BEN,BEN2016,2016,35.923,"4,245.4",,
BEN,BEN2017,2017,39.598,"5,027.8",,
BEN,BEN2018,2018,41.08,"5,856.8",,
BEN,BEN2019,2019,41.23,"5,933.8",,
BEN,BEN2020,2020,46.142,"7,232.3",,
BEN,BEN2021,2021,50.288,"8,900.5",,
BEN,BEN2022,2022,54.187,"9,449.7",,
BEN,BEN2023,2023,54.537,"10,732.3",,
BEN,BEN2024,2024,53.975,"11,508.5",,
BEN,BEN2025,2025,52.564,"12,124.4",,
BTN,BTN2000,2000,44.029,199.9,,
BTN,BTN2001,2001,52.352,248.1,,
BTN,BTN2002,2002,57.708,298.4,,
BTN,BTN2003,2003,68.5,422.0,,
BTN,BTN2004,2004,76.03,532.2,,
BTN,BTN2005,2005,80.84,661.3,,
BTN,BTN2006,2006,80.124,701.9,,
BTN,BTN2007,2007,67.253,720.3,,
BTN,BTN2008,2008,60.566,819.5,,
BTN,BTN2009,2009,61.036,777.6,,
BTN,BTN2010,2010,56.454,853.0,,
BTN,BTN2011,2011,63.62,"1,171.9",,
BTN,BTN2012,2012,72.809,"1,405.9",,
BTN,BTN2013,2013,93.909,"1,847.2",,
BTN,BTN2014,2014,91.196,"1,762.8",,
BTN,BTN2015,2015,91.541,"1,946.2",,
BTN,BTN2016,2016,109.108,"2,420.0",,
BTN,BTN2017,2017,104.828,"2,563.0",,
BTN,BTN2018,2018,107.295,"2,844.4",,
BTN,BTN2019,2019,99.737,"2,611.1",,
BTN,BTN2020,2020,114.939,"2,972.3",,
BTN,BTN2021,2021,123.276,"3,233.5",,
BTN,BTN2022,2022,117.344,"3,366.6",,
BTN,BTN2023,2023,116.065,"3,375.2",,
BTN,BTN2024,2024,113.763,"3,584.7",,
BTN,BTN2025,2025,109.245,"3,841.1",,
BOL,BOL2000,2000,74.318,"6,231.6",,
BOL,BOL2001,2001,82.977,"6,766.8",,
BOL,BOL2002,2002,86.687,"6,863.0",,
BOL,BOL2003,2003,95.645,"7,739.6",,
BOL,BOL2004,2004,89.81,"7,889.8",,
BOL,BOL2005,2005,82.158,"7,865.0",,
BOL,BOL2006,2006,54.375,"6,264.0",,
BOL,BOL2007,2007,40.032,"5,290.6",,
BOL,BOL2008,2008,36.785,"6,176.9",,
BOL,BOL2009,2009,39.209,"6,847.5",,
BOL,BOL2010,2010,37.637,"7,446.9",,
BOL,BOL2011,2011,35.327,"8,526.2",,
BOL,BOL2012,2012,35.394,"9,656.2",,
BOL,BOL2013,2013,36.097,"11,147.8",,
BOL,BOL2014,2014,37.603,"12,498.1",,
BOL,BOL2015,2015,40.905,"13,597.2",,
BOL,BOL2016,2016,46.49,"15,894.5",,
BOL,BOL2017,2017,51.26,"19,367.1",,
BOL,BOL2018,2018,53.076,"21,538.8",,
BOL,BOL2019,2019,58.626,"24,149.8",,
BOL,BOL2020,2020,77.971,"28,769.0",,
BOL,BOL2021,2021,81.409,"33,134.3",,
BOL,BOL2022,2022,80.1,"35,507.5",,
BOL,BOL2023,2023,88.428,"40,206.4",,
BOL,BOL2024,2024,93.901,"45,234.0",,
BOL,BOL2025,2025,97.893,"50,221.1",,
BIH,BIH2000,2000,34.686,"1,926.5",,
BIH,BIH2001,2001,35.231,"2,037.8",,
BIH,BIH2002,2002,31.199,"2,093.8",,
BIH,BIH2003,2003,27.636,"2,342.7",,
BIH,BIH2004,2004,25.487,"2,588.7",,
BIH,BIH2005,2005,25.515,"2,790.1",,
BIH,BIH2006,2006,21.246,"2,647.3",,
BIH,BIH2007,2007,18.709,"2,866.8",,
BIH,BIH2008,2008,30.971,"5,795.3",,
BIH,BIH2009,2009,36.395,"6,405.9",,
BIH,BIH2010,2010,42.236,"7,249.4",,
BIH,BIH2011,2011,40.975,"7,633.2",,
BIH,BIH2012,2012,43.607,"7,503.5",,
BIH,BIH2013,2013,43.813,"7,954.3",,
BIH,BIH2014,2014,47.234,"8,748.7",,
BIH,BIH2015,2015,46.376,"7,607.5",,
BIH,BIH2016,2016,44.874,"7,681.1",,
BIH,BIH2017,2017,38.616,"7,076.8",,
BIH,BIH2018,2018,34.894,"7,147.7",,
BIH,BIH2019,2019,33.168,"6,793.8",,
BIH,BIH2020,2020,37.098,"7,503.4",,
BIH,BIH2021,2021,35.618,"8,431.8",,
BIH,BIH2022,2022,31.013,"7,609.0",,
BIH,BIH2023,2023,32.215,"8,715.8",,
BIH,BIH2024,2024,34.498,"9,798.8",,
BIH,BIH2025,2025,35.69,"10,658.5",,
BWA,BWA2000,2000,8.161,463.7,,
BWA,BWA2001,2001,7.475,408.1,,
BWA,BWA2002,2002,8.372,451.7,,
BWA,BWA2003,2003,7.077,528.6,,
BWA,BWA2004,2004,10.749,948.0,,
BWA,BWA2005,2005,7.46,733.5,,
BWA,BWA2006,2006,6.136,608.6,,
BWA,BWA2007,2007,5.931,626.7,,
BWA,BWA2008,2008,7.795,836.5,,
BWA,BWA2009,2009,18.398,"1,861.5",,
BWA,BWA2010,2010,20.826,"2,631.8",,
BWA,BWA2011,2011,20.926,"3,162.1",,
BWA,BWA2012,2012,19.984,"2,779.2",,
BWA,BWA2013,2013,18.292,"2,610.6",,
BWA,BWA2014,2014,18.387,"2,844.5",,
BWA,BWA2015,2015,18.177,"2,459.5",,
BWA,BWA2016,2016,16.356,"2,467.0",,
BWA,BWA2017,2017,14.531,"2,340.2",,
BWA,BWA2018,2018,14.856,"2,530.3",,
BWA,BWA2019,2019,16.472,"2,750.2",,
BWA,BWA2020,2020,18.699,"2,791.8",,
BWA,BWA2021,2021,18.691,"3,504.7",,
BWA,BWA2022,2022,18.11,"3,680.3",,
BWA,BWA2023,2023,20.129,"3,904.2",,
BWA,BWA2024,2024,22.609,"4,514.1",,
BWA,BWA2025,2025,22.054,"4,877.2",,
BRA,BRA2000,2000,62.198,"407,679.3",,
BRA,BRA2001,2001,67.331,"377,041.5",,
BRA,BRA2002,2002,76.095,"387,930.8",,
BRA,BRA2003,2003,71.514,"399,214.0",,
BRA,BRA2004,2004,68.025,"455,284.5",,
BRA,BRA2005,2005,66.969,"597,117.7",,
BRA,BRA2006,2006,64.599,"715,516.6",,
BRA,BRA2007,2007,63.025,"880,531.1",,
BRA,BRA2008,2008,61.42,"1,041,594.1",,
BRA,BRA2009,2009,64.702,"1,080,008.4",,
BRA,BRA2010,2010,62.433,"1,378,960.2",,
BRA,BRA2011,2011,60.634,"1,584,989.1",,
BRA,BRA2012,2012,61.614,"1,518,201.6",,
BRA,BRA2013,2013,59.595,"1,473,020.3",,
BRA,BRA2014,2014,61.617,"1,513,347.4",,
BRA,BRA2015,2015,71.73,"1,291,173.0",,
BRA,BRA2016,2016,77.422,"1,390,980.7",,
BRA,BRA2017,2017,82.745,"1,707,458.8",,
BRA,BRA2018,2018,84.777,"1,625,119.1",,
BRA,BRA2019,2019,87.118,"1,631,969.3",,
BRA,BRA2020,2020,96.007,"1,417,151.6",,
BRA,BRA2021,2021,88.934,"1,485,775.9",,
BRA,BRA2022,2022,83.939,"1,638,362.5",,
BRA,BRA2023,2023,84.675,"1,840,555.9",,
BRA,BRA2024,2024,87.575,"1,916,507.9",,
BRA,BRA2025,2025,91.977,"2,122,058.4",,
BGR,BGR2000,2000,73.341,"9,714.7",,
BGR,BGR2001,2001,67.06,"9,511.1",,
BGR,BGR2002,2002,53.404,"8,759.9",,
BGR,BGR2003,2003,45.428,"9,606.2",,
BGR,BGR2004,2004,37.764,"9,878.3",,
BGR,BGR2005,2005,28.472,"8,504.0",,
BGR,BGR2006,2006,22.608,"7,772.6",,
BGR,BGR2007,2007,17.588,"7,814.7",,
BGR,BGR2008,2008,14.702,"8,009.1",,
BGR,BGR2009,2009,14.54,"7,564.3",,
BGR,BGR2010,2010,14.064,"7,129.0",,
BGR,BGR2011,2011,14.335,"8,268.7",,
BGR,BGR2012,2012,16.545,"8,983.4",,
BGR,BGR2013,2013,17.165,"9,581.5",,
BGR,BGR2014,2014,26.266,"14,992.9",,
BGR,BGR2015,2015,25.359,"12,873.7",,
BGR,BGR2016,2016,27.007,"14,564.6",,
BGR,BGR2017,2017,22.919,"13,588.2",,
BGR,BGR2018,2018,20.075,"13,329.4",,
BGR,BGR2019,2019,18.315,"12,617.0",,
BGR,BGR2020,2020,22.827,"16,049.9",,
BGR,BGR2021,2021,22.462,"18,890.5",,
BGR,BGR2022,2022,21.528,"19,466.0",,
BGR,BGR2023,2023,22.049,"22,404.2",,
BGR,BGR2024,2024,23.748,"25,748.8",,
BGR,BGR2025,2025,25.377,"29,318.3",,
BFA,BFA2000,2000,,,,
BFA,BFA2001,2001,,,,
BFA,BFA2002,2002,43.287,"1,567.0",,
BFA,BFA2003,2003,39.658,"1,879.8",,
BFA,BFA2004,2004,40.74,"2,219.9",,
BFA,BFA2005,2005,39.214,"2,411.7",,
BFA,BFA2006,2006,20.089,"1,315.4",,
BFA,BFA2007,2007,22.416,"1,709.7",,
BFA,BFA2008,2008,24.868,"2,350.0",,
BFA,BFA2009,2009,25.871,"2,442.2",,
BFA,BFA2010,2010,22.668,"2,293.5",,
BFA,BFA2011,2011,28.4,"3,430.2",,
BFA,BFA2012,2012,25.211,"3,168.8",,
BFA,BFA2013,2013,25.901,"3,482.1",,
BFA,BFA2014,2014,26.086,"3,638.2",,
BFA,BFA2015,2015,31.251,"3,697.9",,
BFA,BFA2016,2016,32.855,"4,215.0",,
BFA,BFA2017,2017,33.882,"4,775.3",,
BFA,BFA2018,2018,38.114,"6,066.2",,
BFA,BFA2019,2019,41.898,"6,716.7",,
BFA,BFA2020,2020,43.848,"7,784.8",,
BFA,BFA2021,2021,55.639,"10,935.3",,
BFA,BFA2022,2022,58.405,"11,042.0",,
BFA,BFA2023,2023,55.905,"11,339.2",,
BFA,BFA2024,2024,57.356,"12,536.9",,
BFA,BFA2025,2025,56.043,"13,204.9",,
BDI,BDI2000,2000,136.425,"1,186.9",,
BDI,BDI2001,2001,127.387,"1,117.2",,
BDI,BDI2002,2002,159.088,"1,312.5",,
BDI,BDI2003,2003,171.969,"1,350.0",,
BDI,BDI2004,2004,172.738,"1,580.6",,
BDI,BDI2005,2005,136.98,"1,530.1",,
BDI,BDI2006,2006,130.255,"1,658.1",,
BDI,BDI2007,2007,129.613,"1,757.6",,
BDI,BDI2008,2008,102.515,"1,652.5",,
BDI,BDI2009,2009,25.69,456.0,,
BDI,BDI2010,2010,46.912,953.3,,
BDI,BDI2011,2011,42.706,954.9,,
BDI,BDI2012,2012,41.43,966.6,,
BDI,BDI2013,2013,37.858,929.8,,
BDI,BDI2014,2014,37.971,"1,027.5",,
BDI,BDI2015,2015,39.926,"1,239.3",,
BDI,BDI2016,2016,46.119,"1,365.1",,
BDI,BDI2017,2017,46.902,"1,487.7",,
BDI,BDI2018,2018,52.971,"1,608.7",,
BDI,BDI2019,2019,59.988,"1,806.8",,
BDI,BDI2020,2020,65.965,"2,035.7",,
BDI,BDI2021,2021,66.564,"2,230.6",,
BDI,BDI2022,2022,68.359,"2,677.6",,
BDI,BDI2023,2023,62.363,"2,644.8",,
BDI,BDI2024,2024,86.776,"3,718.4",,
BDI,BDI2025,2025,80.363,"1,731.0",,
CPV,CPV2000,2000,71.943,502.9,,
CPV,CPV2001,2001,62.158,491.7,,
CPV,CPV2002,2002,64.658,560.6,,
CPV,CPV2003,2003,65.582,724.7,,
CPV,CPV2004,2004,67.847,856.9,,
CPV,CPV2005,2005,66.713,930.6,,
CPV,CPV2006,2006,66.203,961.3,,
CPV,CPV2007,2007,59.601,983.4,,
CPV,CPV2008,2008,57.493,"1,126.9",,
CPV,CPV2009,2009,58.788,"1,088.8",,
CPV,CPV2010,2010,73.515,"1,341.6",,
CPV,CPV2011,2011,71.56,"1,464.8",,
CPV,CPV2012,2012,82.937,"1,586.6",,
CPV,CPV2013,2013,93.476,"1,896.6",,
CPV,CPV2014,2014,105.589,"2,156.1",,
CPV,CPV2015,2015,115.571,"2,022.5",,
CPV,CPV2016,2016,115.403,"2,140.7",,
CPV,CPV2017,2017,112.759,"2,215.7",,
CPV,CPV2018,2018,112.001,"2,321.8",,
CPV,CPV2019,2019,109.419,"2,441.1",,
CPV,CPV2020,2020,143.783,"2,632.7",,
CPV,CPV2021,2021,149.063,"3,060.3",,
CPV,CPV2022,2022,124.026,"2,863.8",,
CPV,CPV2023,2023,114.039,"2,951.3",,
CPV,CPV2024,2024,111.006,"3,059.3",,
CPV,CPV2025,2025,107.21,"3,147.7",,
KHM,KHM2000,2000,34.852,"1,292.0",,
KHM,KHM2001,2001,33.509,"1,392.0",,
KHM,KHM2002,2002,37.83,"1,705.0",,
KHM,KHM2003,2003,39.782,"2,010.6",,
KHM,KHM2004,2004,38.744,"2,277.8",,
KHM,KHM2005,2005,31.67,"2,235.3",,
KHM,KHM2006,2006,26.729,"2,229.7",,
KHM,KHM2007,2007,25.068,"2,536.1",,
KHM,KHM2008,2008,22.954,"2,791.7",,
KHM,KHM2009,2009,23.682,"2,957.9",,
KHM,KHM2010,2010,23.402,"3,228.5",,
KHM,KHM2011,2011,23.795,"3,811.2",,
KHM,KHM2012,2012,24.861,"4,432.5",,
KHM,KHM2013,2013,24.397,"4,832.1",,
KHM,KHM2014,2014,24.174,"5,327.9",,
KHM,KHM2015,2015,23.264,"5,633.8",,
KHM,KHM2016,2016,21.79,"5,794.2",,
KHM,KHM2017,2017,22.641,"6,655.1",,
KHM,KHM2018,2018,21.089,"6,997.5",,
KHM,KHM2019,2019,20.835,"7,642.7",,
KHM,KHM2020,2020,25.227,"8,803.7",,
KHM,KHM2021,2021,25.942,"9,545.9",,
KHM,KHM2022,2022,25.043,"9,976.6",,
KHM,KHM2023,2023,25.729,"11,141.7",,
