iso,id,year,GG debt (% of GDP),GG debt ($ million)
ARG,ARG2022,2022,84.685,534076.1
ARG,ARG2023,2023,154.536,1012043.9
ARG,ARG2024,2024,86.2,520872.1
ARG,ARG2025,2025,79.521,444488.2
ARM,ARM2000,2000,39.597,757.1
ARM,ARM2001,2001,38.061,806.1
ARM,ARM2002,2002,38.248,908.8
ARM,ARM2003,2003,33.016,926.8
ARM,ARM2004,2004,26.446,946.0
ARM,ARM2005,2005,24.405,1195.8
ARM,ARM2006,2006,18.725,1195.4
ARM,ARM2007,2007,16.102,1482.4
ARM,ARM2008,2008,16.145,1882.8
ARM,ARM2009,2009,40.161,3473.1
ARM,ARM2010,2010,39.667,3673.2
ARM,ARM2011,2011,42.006,4260.2
ARM,ARM2012,2012,41.225,4377.7
ARM,ARM2013,2013,40.856,4543.6
ARM,ARM2014,2014,43.689,5072.3
ARM,ARM2015,2015,48.702,5139.5
ARM,ARM2016,2016,56.749,5984.7
ARM,ARM2017,2017,58.938,6793.8
ARM,ARM2018,2018,55.655,6933.5
ARM,ARM2019,2019,53.673,7309.7
ARM,ARM2020,2020,67.362,8515.9
ARM,ARM2021,2021,63.315,8787.5
ARM,ARM2022,2022,49.247,9610.1
ARM,ARM2023,2023,50.457,12187.9
ARM,ARM2024,2024,53.143,13502.6
ARM,ARM2025,2025,53.669,14571.7
AZE,AZE2000,2000,13.133,692.5
AZE,AZE2001,2001,12.954,709.2
AZE,AZE2002,2002,11.885,740.7
AZE,AZE2003,2003,10.659,775.5
AZE,AZE2004,2004,9.71,843.0
AZE,AZE2005,2005,6.855,907.5
AZE,AZE2006,2006,5.297,1111.5
AZE,AZE2007,2007,4.003,1323.0
AZE,AZE2008,2008,3.221,1573.5
AZE,AZE2009,2009,4.726,2093.5
AZE,AZE2010,2010,4.981,2635.4
AZE,AZE2011,2011,4.967,3275.8
AZE,AZE2012,2012,5.831,4063.3
AZE,AZE2013,2013,6.179,4582.6
AZE,AZE2014,2014,8.533,6419.8
AZE,AZE2015,2015,17.98,9528.9
AZE,AZE2016,2016,20.608,7796.0
AZE,AZE2017,2017,22.509,9313.1
AZE,AZE2018,2018,18.685,8803.1
AZE,AZE2019,2019,17.656,8505.6
AZE,AZE2020,2020,21.327,9105.1
AZE,AZE2021,2021,26.349,14445.8
AZE,AZE2022,2022,17.343,13652.6
AZE,AZE2023,2023,18.371,14079.4
AZE,AZE2024,2024,18.268,14385.9
AZE,AZE2025,2025,18.91,15399.9
BGD,BGD2000,2000,..,..
BGD,BGD2001,2001,..,..
BGD,BGD2002,2002,..,..
BGD,BGD2003,2003,37.044,26580.9
BGD,BGD2004,2004,36.585,28226.1
BGD,BGD2005,2005,35.558,28279.3
BGD,BGD2006,2006,35.332,30395.4
BGD,BGD2007,2007,34.989,33370.4
BGD,BGD2008,2008,33.87,37177.4
BGD,BGD2009,2009,33.01,40523.1
BGD,BGD2010,2010,29.623,40907.6
BGD,BGD2011,2011,29.393,45293.7
BGD,BGD2012,2012,29.078,46451.8
BGD,BGD2013,2013,28.344,50927.4
BGD,BGD2014,2014,28.683,59403.1
BGD,BGD2015,2015,28.206,65913.8
BGD,BGD2016,2016,27.72,73523.4
BGD,BGD2017,2017,28.306,83150.3
BGD,BGD2018,2018,29.553,94977.1
BGD,BGD2019,2019,31.951,112224.1
BGD,BGD2020,2020,34.509,129029.8
BGD,BGD2021,2021,35.614,148248.6
BGD,BGD2022,2022,37.863,174245.9
BGD,BGD2023,2023,39.794,177620.1
BGD,BGD2024,2024,41.402,188446.2
BGD,BGD2025,2025,41.757,205367.2
BLR,BLR2000,2000,..,..
BLR,BLR2001,2001,..,..
BLR,BLR2002,2002,..,..
BLR,BLR2003,2003,..,..
BLR,BLR2004,2004,9.223,2206.9
BLR,BLR2005,2005,8.115,2535.0
BLR,BLR2006,2006,12.274,4691.0
BLR,BLR2007,2007,15.813,7402.9
BLR,BLR2008,2008,20.295,12744.9
BLR,BLR2009,2009,32.547,16551.8
BLR,BLR2010,2010,36.805,21059.8
BLR,BLR2011,2011,58.223,35730.3
BLR,BLR2012,2012,36.946,24262.1
BLR,BLR2013,2013,36.859,27827.1
BLR,BLR2014,2014,38.791,30542.5
BLR,BLR2015,2015,53.007,29858.3
BLR,BLR2016,2016,53.482,25512.5
BLR,BLR2017,2017,53.16,29090.7
BLR,BLR2018,2018,47.515,28514.2
BLR,BLR2019,2019,40.999,26409.1
BLR,BLR2020,2020,47.493,29118.9
BLR,BLR2021,2021,41.182,28089.0
BLR,BLR2022,2022,41.297,30078.7
BLR,BLR2023,2023,45.038,32339.5
BLR,BLR2024,2024,48.57,33536.6
BLR,BLR2025,2025,47.566,33683.9
BLZ,BLZ2000,2000,..,..
BLZ,BLZ2001,2001,51.418,580.5
BLZ,BLZ2002,2002,55.193,661.8
BLZ,BLZ2003,2003,69.364,878.8
BLZ,BLZ2004,2004,72.951,989.2
BLZ,BLZ2005,2005,75.159,1072.5
BLZ,BLZ2006,2006,71.649,1134.9
BLZ,BLZ2007,2007,66.716,1133.5
BLZ,BLZ2008,2008,64.911,1124.3
BLZ,BLZ2009,2009,70.001,1176.7
BLZ,BLZ2010,2010,68.807,1196.6
BLZ,BLZ2011,2011,66.683,1213.0
BLZ,BLZ2012,2012,63.717,1210.6
BLZ,BLZ2013,2013,63.197,1277.8
BLZ,BLZ2014,2014,61.923,1315.9
BLZ,BLZ2015,2015,64.987,1426.5
BLZ,BLZ2016,2016,70.426,1578.2
BLZ,BLZ2017,2017,78.094,1770.4
BLZ,BLZ2018,2018,78.82,1807.3
BLZ,BLZ2019,2019,78.495,1873.7
BLZ,BLZ2020,2020,103.032,2110.1
BLZ,BLZ2021,2021,82.34,1996.7
BLZ,BLZ2022,2022,67.055,1898.3
BLZ,BLZ2023,2023,66.156,2046.9
BLZ,BLZ2024,2024,62.921,2073.9
BLZ,BLZ2025,2025,61.13,2112.7
BEN,BEN2000,2000,39.592,1394.4
BEN,BEN2001,2001,37.987,1392.6
BEN,BEN2002,2002,30.768,1289.5
BEN,BEN2003,2003,23.381,1250.4
BEN,BEN2004,2004,21.51,1330.8
BEN,BEN2005,2005,26.978,1772.7
BEN,BEN2006,2006,8.366,588.5
BEN,BEN2007,2007,14.286,1167.2
BEN,BEN2008,2008,18.307,1791.7
BEN,BEN2009,2009,18.748,1823.8
BEN,BEN2010,2010,21,2004.0
BEN,BEN2011,2011,21.86,2337.1
BEN,BEN2012,2012,19.54,2178.3
BEN,BEN2013,2013,18.504,2316.3
BEN,BEN2014,2014,22.282,2960.8
BEN,BEN2015,2015,30.9,3519.2
BEN,BEN2016,2016,35.923,4245.4
BEN,BEN2017,2017,39.598,5027.8
BEN,BEN2018,2018,41.08,5856.8
BEN,BEN2019,2019,41.23,5933.8
BEN,BEN2020,2020,46.142,7232.3
BEN,BEN2021,2021,50.288,8900.5
BEN,BEN2022,2022,54.187,9449.7
BEN,BEN2023,2023,54.209,10515.5
BEN,BEN2024,2024,53.409,11414.0
BEN,BEN2025,2025,52.361,12099.1
BTN,BTN2000,2000,44.378,201.5
BTN,BTN2001,2001,52.767,250.1
BTN,BTN2002,2002,58.165,300.7
BTN,BTN2003,2003,69.337,427.1
BTN,BTN2004,2004,76.022,532.2
BTN,BTN2005,2005,78.868,645.1
BTN,BTN2006,2006,80.923,708.9
BTN,BTN2007,2007,67.232,720.1
BTN,BTN2008,2008,60.546,819.2
BTN,BTN2009,2009,61.037,777.6
BTN,BTN2010,2010,56.452,853.0
BTN,BTN2011,2011,63.62,1171.9
BTN,BTN2012,2012,72.809,1405.9
BTN,BTN2013,2013,93.909,1847.2
BTN,BTN2014,2014,91.196,1762.8
BTN,BTN2015,2015,91.541,1946.2
BTN,BTN2016,2016,109.108,2420.0
BTN,BTN2017,2017,104.828,2563.0
BTN,BTN2018,2018,107.295,2844.4
BTN,BTN2019,2019,99.737,2611.1
BTN,BTN2020,2020,114.939,2972.3
BTN,BTN2021,2021,123.276,3233.5
BTN,BTN2022,2022,117.77,3378.8
BTN,BTN2023,2023,114.362,3313.1
BTN,BTN2024,2024,111.393,3464.3
BTN,BTN2025,2025,106.274,3608.0
BOL,BOL2000,2000,74.318,6231.6
BOL,BOL2001,2001,82.977,6766.8
BOL,BOL2002,2002,86.687,6863.0
BOL,BOL2003,2003,95.645,7739.6
BOL,BOL2004,2004,89.81,7889.8
BOL,BOL2005,2005,82.158,7865.0
BOL,BOL2006,2006,54.375,6264.0
BOL,BOL2007,2007,40.032,5290.6
BOL,BOL2008,2008,36.785,6176.9
BOL,BOL2009,2009,39.209,6847.5
BOL,BOL2010,2010,37.637,7446.9
BOL,BOL2011,2011,35.327,8526.2
BOL,BOL2012,2012,35.394,9656.2
BOL,BOL2013,2013,36.097,11147.8
BOL,BOL2014,2014,37.603,12498.1
BOL,BOL2015,2015,40.905,13597.2
BOL,BOL2016,2016,46.49,15894.5
BOL,BOL2017,2017,51.26,19367.1
BOL,BOL2018,2018,53.076,21538.8
BOL,BOL2019,2019,58.626,24149.8
BOL,BOL2020,2020,77.971,28769.0
BOL,BOL2021,2021,81.405,33134.3
BOL,BOL2022,2022,80.355,35609.3
BOL,BOL2023,2023,83.629,38864.9
BOL,BOL2024,2024,86.652,42748.9
BOL,BOL2025,2025,88.879,46679.3
BIH,BIH2000,2000,34.686,1926.5
BIH,BIH2001,2001,35.23,2037.7
BIH,BIH2002,2002,31.198,2093.7
BIH,BIH2003,2003,27.635,2342.6
BIH,BIH2004,2004,25.487,2588.7
BIH,BIH2005,2005,25.515,2790.1
BIH,BIH2006,2006,21.245,2647.1
BIH,BIH2007,2007,18.709,2866.8
BIH,BIH2008,2008,30.885,5779.2
BIH,BIH2009,2009,35.067,6172.1
BIH,BIH2010,2010,40.805,7003.8
BIH,BIH2011,2011,39.55,7367.8
BIH,BIH2012,2012,42.207,7262.6
BIH,BIH2013,2013,42.499,7715.7
BIH,BIH2014,2014,45.859,8494.0
BIH,BIH2015,2015,44.991,7380.3
BIH,BIH2016,2016,43.548,7454.1
BIH,BIH2017,2017,37.438,6860.9
BIH,BIH2018,2018,33.769,6917.2
BIH,BIH2019,2019,32.081,6571.2
BIH,BIH2020,2020,36.036,7288.6
BIH,BIH2021,2021,34.586,8187.5
BIH,BIH2022,2022,29.623,7268.0
BIH,BIH2023,2023,28.118,7652.6
BIH,BIH2024,2024,29.699,8635.9
BIH,BIH2025,2025,30.225,9295.4
BWA,BWA2000,2000,8.161,463.7
BWA,BWA2001,2001,7.475,408.1
BWA,BWA2002,2002,8.372,451.7
BWA,BWA2003,2003,7.077,528.6
BWA,BWA2004,2004,10.749,948.0
BWA,BWA2005,2005,7.46,733.5
BWA,BWA2006,2006,6.136,608.6
BWA,BWA2007,2007,5.931,626.7
BWA,BWA2008,2008,7.795,836.5
BWA,BWA2009,2009,18.398,1861.5
BWA,BWA2010,2010,20.826,2631.8
BWA,BWA2011,2011,20.926,3162.1
BWA,BWA2012,2012,19.984,2779.2
BWA,BWA2013,2013,18.292,2610.6
BWA,BWA2014,2014,18.387,2844.5
BWA,BWA2015,2015,18.177,2459.5
BWA,BWA2016,2016,16.356,2467.0
BWA,BWA2017,2017,14.531,2340.2
BWA,BWA2018,2018,14.856,2530.3
BWA,BWA2019,2019,16.472,2750.2
BWA,BWA2020,2020,18.703,2792.4
BWA,BWA2021,2021,18.693,3502.5
BWA,BWA2022,2022,17.84,3630.8
BWA,BWA2023,2023,19.411,3968.6
BWA,BWA2024,2024,17.914,3836.8
BWA,BWA2025,2025,16.805,3828.0
BRA,BRA2000,2000,62.198,407679.3
BRA,BRA2001,2001,67.331,377041.5
BRA,BRA2002,2002,76.095,387930.8
BRA,BRA2003,2003,71.514,399214.0
BRA,BRA2004,2004,68.025,455284.5
BRA,BRA2005,2005,66.969,597117.7
BRA,BRA2006,2006,64.599,715516.6
BRA,BRA2007,2007,63.025,880531.1
BRA,BRA2008,2008,61.42,1041594.1
BRA,BRA2009,2009,64.702,1080008.4
BRA,BRA2010,2010,62.433,1378960.2
BRA,BRA2011,2011,60.634,1584989.1
BRA,BRA2012,2012,61.614,1518201.6
BRA,BRA2013,2013,59.595,1473020.3
BRA,BRA2014,2014,61.617,1513347.4
BRA,BRA2015,2015,71.73,1291173.0
BRA,BRA2016,2016,77.422,1390980.7
BRA,BRA2017,2017,82.745,1707458.8
BRA,BRA2018,2018,84.777,1625119.1
BRA,BRA2019,2019,87.118,1631969.3
BRA,BRA2020,2020,96.007,1417151.6
BRA,BRA2021,2021,88.934,1485775.9
BRA,BRA2022,2022,83.939,1638362.5
BRA,BRA2023,2023,84.675,1840555.9
BRA,BRA2024,2024,86.724,2021875.5
BRA,BRA2025,2025,89.306,2177196.3
BGR,BGR2000,2000,73.341,9714.7
BGR,BGR2001,2001,67.06,9511.1
BGR,BGR2002,2002,53.404,8759.9
BGR,BGR2003,2003,45.428,9606.2
BGR,BGR2004,2004,37.764,9878.3
BGR,BGR2005,2005,28.472,8504.0
BGR,BGR2006,2006,22.608,7772.6
BGR,BGR2007,2007,17.588,7814.7
BGR,BGR2008,2008,14.702,8009.1
BGR,BGR2009,2009,14.54,7564.3
BGR,BGR2010,2010,14.064,7129.0
BGR,BGR2011,2011,14.335,8268.7
BGR,BGR2012,2012,16.545,8983.4
BGR,BGR2013,2013,17.165,9581.5
BGR,BGR2014,2014,26.266,14992.9
BGR,BGR2015,2015,25.359,12873.7
BGR,BGR2016,2016,27.007,14564.6
BGR,BGR2017,2017,22.919,13588.2
BGR,BGR2018,2018,20.075,13329.4
BGR,BGR2019,2019,18.315,12617.0
BGR,BGR2020,2020,23.199,16311.4
BGR,BGR2021,2021,22.462,18890.5
BGR,BGR2022,2022,21.528,19466.0
BGR,BGR2023,2023,22.049,22404.2
BGR,BGR2024,2024,23.425,25283.3
BGR,BGR2025,2025,24.891,28490.5
BFA,BFA2000,2000,..,..
BFA,BFA2001,2001,..,..
BFA,BFA2002,2002,43.287,1567.0
BFA,BFA2003,2003,39.658,1879.8
BFA,BFA2004,2004,40.74,2219.9
BFA,BFA2005,2005,39.214,2411.7
BFA,BFA2006,2006,20.089,1315.4
BFA,BFA2007,2007,22.416,1709.7
BFA,BFA2008,2008,24.868,2350.0
BFA,BFA2009,2009,25.871,2442.2
BFA,BFA2010,2010,23.694,2397.4
BFA,BFA2011,2011,24.504,2959.6
BFA,BFA2012,2012,25.211,3168.8
BFA,BFA2013,2013,25.901,3482.1
BFA,BFA2014,2014,26.086,3638.2
BFA,BFA2015,2015,31.251,3697.9
BFA,BFA2016,2016,32.855,4215.0
BFA,BFA2017,2017,33.882,4775.3
BFA,BFA2018,2018,38.114,6066.2
BFA,BFA2019,2019,41.898,6716.7
BFA,BFA2020,2020,43.848,7784.8
BFA,BFA2021,2021,55.639,10935.3
BFA,BFA2022,2022,58.405,11042.0
BFA,BFA2023,2023,61.911,12618.7
BFA,BFA2024,2024,63.275,13858.5
BFA,BFA2025,2025,63.402,14937.5
BDI,BDI2000,2000,136.425,1186.9
BDI,BDI2001,2001,127.387,1117.2
BDI,BDI2002,2002,159.088,1312.5
BDI,BDI2003,2003,171.969,1350.0
BDI,BDI2004,2004,172.738,1580.6
BDI,BDI2005,2005,136.98,1530.1
BDI,BDI2006,2006,130.255,1658.1
BDI,BDI2007,2007,129.613,1757.6
BDI,BDI2008,2008,102.515,1652.5
BDI,BDI2009,2009,25.69,456.0
BDI,BDI2010,2010,46.912,953.3
BDI,BDI2011,2011,42.706,954.9
BDI,BDI2012,2012,41.43,966.6
BDI,BDI2013,2013,37.858,929.8
BDI,BDI2014,2014,37.971,1027.5
BDI,BDI2015,2015,39.926,1239.3
BDI,BDI2016,2016,46.119,1365.1
BDI,BDI2017,2017,46.902,1487.7
BDI,BDI2018,2018,52.971,1608.7
BDI,BDI2019,2019,59.988,1806.8
BDI,BDI2020,2020,65.965,2035.7
BDI,BDI2021,2021,66.564,2230.6
BDI,BDI2022,2022,68.359,2677.6
BDI,BDI2023,2023,62.841,2649.4
BDI,BDI2024,2024,72.664,2234.4
BDI,BDI2025,2025,62.683,2067.9
CPV,CPV2000,2000,82.637,503.3
CPV,CPV2001,2001,79.914,492.3
CPV,CPV2002,2002,82.548,560.5
CPV,CPV2003,2003,87.859,724.8
CPV,CPV2004,2004,90.893,857.1
CPV,CPV2005,2005,89.374,930.4
CPV,CPV2006,2006,88.691,961.4
CPV,CPV2007,2007,79.846,982.9
CPV,CPV2008,2008,76.535,1126.6
CPV,CPV2009,2009,65.538,1089.2
CPV,CPV2010,2010,66.151,1207.3
CPV,CPV2011,2011,71.56,1464.8
CPV,CPV2012,2012,82.937,1586.6
CPV,CPV2013,2013,93.476,1896.6
CPV,CPV2014,2014,105.589,2156.1
CPV,CPV2015,2015,115.571,2022.5
CPV,CPV2016,2016,115.403,2140.7
CPV,CPV2017,2017,112.757,2215.7
CPV,CPV2018,2018,112.001,2321.8
CPV,CPV2019,2019,109.431,2441.4
CPV,CPV2020,2020,148.053,2709.4
CPV,CPV2021,2021,153.09,3060.3
CPV,CPV2022,2022,127.496,2863.6
CPV,CPV2023,2023,115.377,2907.5
CPV,CPV2024,2024,112.242,3050.7
CPV,CPV2025,2025,107.992,3136.1
KHM,KHM2000,2000,34.852,1292.0
KHM,KHM2001,2001,33.509,1392.0
KHM,KHM2002,2002,37.83,1705.0
KHM,KHM2003,2003,39.782,2010.6
KHM,KHM2004,2004,38.744,2277.8
KHM,KHM2005,2005,31.67,2235.3
KHM,KHM2006,2006,26.729,2229.7
KHM,KHM2007,2007,25.068,2536.1
KHM,KHM2008,2008,22.954,2791.7
KHM,KHM2009,2009,23.682,2957.9
KHM,KHM2010,2010,23.402,3228.5
KHM,KHM2011,2011,23.795,3811.2
KHM,KHM2012,2012,24.861,4432.5
KHM,KHM2013,2013,24.397,4832.1
KHM,KHM2014,2014,24.174,5327.9
KHM,KHM2015,2015,23.264,5633.8
KHM,KHM2016,2016,21.79,5794.2
KHM,KHM2017,2017,22.641,6655.1
KHM,KHM2018,2018,21.089,6997.5
KHM,KHM2019,2019,20.835,7642.7
KHM,KHM2020,2020,25.543,8858.6
KHM,KHM2021,2021,26.327,9556.4
KHM,KHM2022,2022,25.665,10025.5
KHM,KHM2023,2023,25.851,10819.9
KHM,KHM2024,2024,26.361,11902.0
KHM,KHM2025,2025,26.155,12744.0
CMR,CMR2000,2000,75.881,7774.0
CMR,CMR2001,2001,62.182,6808.9
CMR,CMR2002,2002,56.6,7000.9
CMR,CMR2003,2003,51.521,8214.5
CMR,CMR2004,2004,51.728,9726.4
CMR,CMR2005,2005,43.843,8564.3
CMR,CMR2006,2006,18.354,3838.2
CMR,CMR2007,2007,13.804,3303.4
CMR,CMR2008,2008,11.153,3090.7
CMR,CMR2009,2009,11.256,3140.8
CMR,CMR2010,2010,13.989,3851.2
CMR,CMR2011,2011,15.047,4608.3
CMR,CMR2012,2012,14.874,4488.1
CMR,CMR2013,2013,17.472,5893.1
CMR,CMR2014,2014,20.707,7536.5
CMR,CMR2015,2015,31.62,10185.8
CMR,CMR2016,2016,32.108,10854.1
CMR,CMR2017,2017,36.539,13185.5
CMR,CMR2018,2018,38.335,15330.9
CMR,CMR2019,2019,41.597,16502.8
CMR,CMR2020,2020,44.858,18330.3
CMR,CMR2021,2021,46.784,21235.7
CMR,CMR2022,2022,45.325,20173.3
CMR,CMR2023,2023,41.907,20516.8
CMR,CMR2024,2024,39.231,20872.9
CMR,CMR2025,2025,36.516,21055.5
CAF,CAF2000,2000,94.679,821.8
CAF,CAF2001,2001,103.115,927.0
CAF,CAF2002,2002,98.518,968.4
CAF,CAF2003,2003,95.886,1139.1
CAF,CAF2004,2004,99.724,1306.4
CAF,CAF2005,2005,102.962,1454.9
CAF,CAF2006,2006,46.75,719.0
CAF,CAF2007,2007,47.851,839.8
CAF,CAF2008,2008,35.766,727.1
CAF,CAF2009,2009,20.3,418.0
CAF,CAF2010,2010,19.883,425.7
CAF,CAF2011,2011,19.686,479.4
CAF,CAF2012,2012,31.533,792.1
CAF,CAF2013,2013,51.79,876.3
CAF,CAF2014,2014,62.24,1180.1
CAF,CAF2015,2015,59.79,1014.0
CAF,CAF2016,2016,53.887,983.4
CAF,CAF2017,2017,50.273,1041.7
CAF,CAF2018,2018,50.034,1140.8
CAF,CAF2019,2019,48.16,1097.1
CAF,CAF2020,2020,44.408,1060.5
CAF,CAF2021,2021,48.549,1254.5
CAF,CAF2022,2022,54.187,1332.5
CAF,CAF2023,2023,55.671,1465.3
CAF,CAF2024,2024,55.646,1563.7
CAF,CAF2025,2025,54.41,1624.7
TCD,TCD2000,2000,49.894,1068.7
TCD,TCD2001,2001,41.428,1092.9
TCD,TCD2002,2002,39.948,1228.8
TCD,TCD2003,2003,32.773,1385.3
TCD,TCD2004,2004,23.951,1632.5
TCD,TCD2005,2005,20.904,1901.6
TCD,TCD2006,2006,19.022,1949.6
TCD,TCD2007,2007,15.987,1917.3
TCD,TCD2008,2008,14.605,2096.4
TCD,TCD2009,2009,22.593,2936.6
TCD,TCD2010,2010,22.506,3215.9
TCD,TCD2011,2011,22.935,3724.0
TCD,TCD2012,2012,22.073,3570.1
TCD,TCD2013,2013,23.524,3980.3
TCD,TCD2014,2014,29.4,5354.6
TCD,TCD2015,2015,32.103,4657.5
TCD,TCD2016,2016,38.101,5105.5
TCD,TCD2017,2017,36.766,4906.1
TCD,TCD2018,2018,33.258,5099.8
TCD,TCD2019,2019,38.008,5669.7
TCD,TCD2020,2020,41.155,6014.8
TCD,TCD2021,2021,42.146,6763.2
TCD,TCD2022,2022,35.919,5896.8
TCD,TCD2023,2023,35.129,6145.1
TCD,TCD2024,2024,32.327,6044.2
TCD,TCD2025,2025,31.384,6182.0
CHN,CHN2000,2000,22.987,277115.6
CHN,CHN2001,2001,24.575,327744.2
CHN,CHN2002,2002,25.916,379884.2
CHN,CHN2003,2003,26.8,444065.8
CHN,CHN2004,2004,26.393,514517.3
CHN,CHN2005,2005,26.312,602549.8
CHN,CHN2006,2006,25.568,704180.8
CHN,CHN2007,2007,29.164,1036971.2
CHN,CHN2008,2008,27.159,1243143.5
CHN,CHN2009,2009,34.567,1759111.9
CHN,CHN2010,2010,33.924,2046916.5
CHN,CHN2011,2011,33.772,2530269.8
