Group,year,number_revenue,percentage_revenue,number_exports,percentage_exports
Landlocked developing (LLDC),2024,5,16.67,..,..
Small island developing (SIDS),2000,3,15,1,6.25
Small island developing (SIDS),2001,3,15,2,11.11
Small island developing (SIDS),2002,4,20,3,16.67
Small island developing (SIDS),2003,3,15,3,15.79
Small island developing (SIDS),2004,4,20,2,10
Small island developing (SIDS),2005,2,10,3,15
Small island developing (SIDS),2006,4,20,1,5
Small island developing (SIDS),2007,3,15,3,15
Small island developing (SIDS),2008,2,10,0,0
Small island developing (SIDS),2009,2,10,1,5
Small island developing (SIDS),2010,2,10,0,0
Small island developing (SIDS),2011,2,10,1,5
Small island developing (SIDS),2012,3,15,2,10
Small island developing (SIDS),2013,2,9.52,0,0
Small island developing (SIDS),2014,1,4.76,0,0
Small island developing (SIDS),2015,3,14.29,2,9.52
Small island developing (SIDS),2016,1,4.76,1,4.76
Small island developing (SIDS),2017,1,4.76,1,4.76
Small island developing (SIDS),2018,2,9.52,0,0
Small island developing (SIDS),2019,2,9.52,1,4.76
Small island developing (SIDS),2020,5,23.81,3,14.29
Small island developing (SIDS),2021,3,14.29,3,14.29
Small island developing (SIDS),2022,3,14.29,1,4.76
Small island developing (SIDS),2023,5,23.81,..,..
Small island developing (SIDS),2024,2,9.52,..,..
Emerging market (EM),2000,19,33.33,9,16.67
Emerging market (EM),2001,15,25.42,9,16.36
Emerging market (EM),2002,16,27.12,9,16.07
Emerging market (EM),2003,17,28.81,10,17.86
Emerging market (EM),2004,13,22.03,4,7.02
Emerging market (EM),2005,7,11.86,5,8.77
Emerging market (EM),2006,11,18.33,3,5.36
Emerging market (EM),2007,7,11.67,3,5.08
Emerging market (EM),2008,6,10,1,1.69
Emerging market (EM),2009,6,9.84,3,5
Emerging market (EM),2010,5,8.2,0,0
Emerging market (EM),2011,4,6.56,2,3.33
Emerging market (EM),2012,5,8.2,1,1.67
Emerging market (EM),2013,6,9.84,0,0
Emerging market (EM),2014,3,4.92,0,0
Emerging market (EM),2015,9,14.75,4,6.67
Emerging market (EM),2016,5,8.2,5,8.33
Emerging market (EM),2017,7,11.48,5,8.33
Emerging market (EM),2018,9,14.75,6,10
Emerging market (EM),2019,12,19.67,8,13.33
Emerging market (EM),2020,16,26.23,11,18.33
Emerging market (EM),2021,16,26.23,9,15
Emerging market (EM),2022,9,14.75,1,1.72
Emerging market (EM),2023,9,15.25,..,..
Emerging market (EM),2024,7,12.28,..,..
Low income developing (LIDC),2000,6,11.54,3,7.14
Low income developing (LIDC),2001,4,7.69,3,7.14
Low income developing (LIDC),2002,4,7.55,2,4.65
Low income developing (LIDC),2003,4,7.55,3,6.67
Low income developing (LIDC),2004,4,7.55,2,4.35
Low income developing (LIDC),2005,3,5.56,2,4.08
Low income developing (LIDC),2006,2,3.64,1,1.92
Low income developing (LIDC),2007,6,10.91,3,5.77
Low income developing (LIDC),2008,3,5.45,0,0
Low income developing (LIDC),2009,0,0,0,0
Low income developing (LIDC),2010,0,0,0,0
Low income developing (LIDC),2011,0,0,0,0
Low income developing (LIDC),2012,1,1.82,1,1.89
Low income developing (LIDC),2013,0,0,0,0
Low income developing (LIDC),2014,2,3.51,0,0
Low income developing (LIDC),2015,1,1.75,0,0
Low income developing (LIDC),2016,1,1.75,0,0
Low income developing (LIDC),2017,3,5.26,1,1.89
Low income developing (LIDC),2018,3,5.26,1,1.89
Low income developing (LIDC),2019,7,12.28,2,3.77
Low income developing (LIDC),2020,7,12.5,3,5.45
Low income developing (LIDC),2021,6,10.71,4,7.41
Low income developing (LIDC),2022,3,5.36,2,3.7
Low income developing (LIDC),2023,16,29.09,..,..
Low income developing (LIDC),2024,17,30.91,..,..
Poorest (IDA eligible),2000,7,11.29,3,6
Poorest (IDA eligible),2001,5,8.06,3,5.88
Poorest (IDA eligible),2002,4,6.35,2,3.85
Poorest (IDA eligible),2003,4,6.35,3,5.56
Poorest (IDA eligible),2004,5,7.94,2,3.57
Poorest (IDA eligible),2005,3,4.69,2,3.39
Poorest (IDA eligible),2006,3,4.62,1,1.61
Poorest (IDA eligible),2007,6,9.23,3,4.84
Poorest (IDA eligible),2008,3,4.55,0,0
Poorest (IDA eligible),2009,0,0,0,0
Poorest (IDA eligible),2010,0,0,0,0
Poorest (IDA eligible),2011,0,0,0,0
Poorest (IDA eligible),2012,3,4.55,1,1.56
Poorest (IDA eligible),2013,0,0,0,0
Poorest (IDA eligible),2014,3,4.41,0,0
Poorest (IDA eligible),2015,3,4.41,0,0
Poorest (IDA eligible),2016,1,1.47,0,0
Poorest (IDA eligible),2017,4,5.88,1,1.56
Poorest (IDA eligible),2018,5,7.35,2,3.13
Poorest (IDA eligible),2019,10,14.71,4,6.25
Poorest (IDA eligible),2020,11,16.42,6,9.09
Poorest (IDA eligible),2021,9,13.43,7,10.77
Poorest (IDA eligible),2022,6,8.96,3,4.62
Poorest (IDA eligible),2023,19,29.23,..,..
Poorest (IDA eligible),2024,19,29.69,..,..
Heavily indebted poor (HIPC),2000,6,18.18,3,11.54
Heavily indebted poor (HIPC),2001,2,6.06,3,11.11
Heavily indebted poor (HIPC),2002,3,8.82,2,7.41
Heavily indebted poor (HIPC),2003,3,8.82,3,10.34
Heavily indebted poor (HIPC),2004,4,11.76,2,6.67
Heavily indebted poor (HIPC),2005,2,5.88,2,6.45
Heavily indebted poor (HIPC),2006,2,5.71,1,3.03
Heavily indebted poor (HIPC),2007,5,14.29,3,9.09
Heavily indebted poor (HIPC),2008,3,8.57,0,0
Heavily indebted poor (HIPC),2009,0,0,0,0
Heavily indebted poor (HIPC),2010,0,0,0,0
Heavily indebted poor (HIPC),2011,0,0,0,0
Heavily indebted poor (HIPC),2012,0,0,1,2.94
Heavily indebted poor (HIPC),2013,0,0,0,0
Heavily indebted poor (HIPC),2014,2,5.71,0,0
Heavily indebted poor (HIPC),2015,0,0,0,0
Heavily indebted poor (HIPC),2016,1,2.86,0,0
Heavily indebted poor (HIPC),2017,3,8.57,1,3.03
Heavily indebted poor (HIPC),2018,2,5.71,1,3.03
Heavily indebted poor (HIPC),2019,5,14.29,1,3.03
Heavily indebted poor (HIPC),2020,4,11.43,1,2.86
Heavily indebted poor (HIPC),2021,3,8.57,3,8.82
Heavily indebted poor (HIPC),2022,2,5.71,1,2.94
Heavily indebted poor (HIPC),2023,11,32.35,..,..
Heavily indebted poor (HIPC),2024,11,32.35,..,..
Very high HDI,2000,4,44.44,1,11.11
Very high HDI,2001,2,20,2,22.22
Very high HDI,2002,3,30,0,0
Very high HDI,2003,3,30,0,0
Very high HDI,2004,1,10,0,0
Very high HDI,2005,0,0,0,0
Very high HDI,2006,0,0,0,0
Very high HDI,2007,0,0,0,0
Very high HDI,2008,1,9.09,0,0
Very high HDI,2009,0,0,0,0
Very high HDI,2010,0,0,0,0
Very high HDI,2011,0,0,0,0
Very high HDI,2012,0,0,0,0
Very high HDI,2013,1,9.09,0,0
Very high HDI,2014,0,0,0,0
Very high HDI,2015,1,9.09,1,9.09
Very high HDI,2016,1,9.09,2,18.18
Very high HDI,2017,0,0,1,9.09
Very high HDI,2018,1,9.09,2,18.18
Very high HDI,2019,1,9.09,1,9.09
Very high HDI,2020,2,18.18,1,9.09
Very high HDI,2021,2,18.18,1,9.09
Very high HDI,2022,0,0,0,0
Very high HDI,2023,1,9.09,..,..
Very high HDI,2024,0,0,..,..
High HDI,2000,11,28.95,6,17.65
High HDI,2001,9,23.08,4,11.43
High HDI,2002,10,25.64,7,19.44
High HDI,2003,10,25.64,7,19.44
High HDI,2004,7,17.95,3,8.11
High HDI,2005,4,10.26,4,10.53
High HDI,2006,7,17.95,2,5.41
High HDI,2007,5,12.82,2,5.26
High HDI,2008,4,10.26,1,2.63
High HDI,2009,3,7.69,2,5.26
High HDI,2010,2,5.13,0,0
High HDI,2011,2,5.13,2,5.26
High HDI,2012,4,10.26,1,2.63
High HDI,2013,4,10.26,0,0
High HDI,2014,3,7.69,0,0
High HDI,2015,7,17.95,3,7.89
High HDI,2016,3,7.69,2,5.26
High HDI,2017,6,15.38,3,7.89
High HDI,2018,7,17.95,3,7.89
High HDI,2019,8,20.51,4,10.53
High HDI,2020,12,30.77,8,21.05
High HDI,2021,11,28.21,5,13.16
High HDI,2022,6,15.38,0,0
High HDI,2023,4,10.81,..,..
High HDI,2024,5,13.89,..,..
Medium HDI,2000,8,24.24,3,10.34
Medium HDI,2001,6,18.18,4,13.79
Medium HDI,2002,5,15.15,3,10
Medium HDI,2003,6,18.18,5,16.13
Medium HDI,2004,4,12.12,2,6.45
Medium HDI,2005,3,8.82,2,6.25
Medium HDI,2006,4,11.76,2,5.88
Medium HDI,2007,4,11.76,3,8.82
Medium HDI,2008,1,2.86,0,0
Medium HDI,2009,3,8.57,1,2.86
Medium HDI,2010,3,8.57,0,0
Medium HDI,2011,2,5.88,0,0
Medium HDI,2012,2,5.88,1,2.94
Medium HDI,2013,1,2.86,0,0
Medium HDI,2014,0,0,0,0
Medium HDI,2015,2,5.71,0,0
Medium HDI,2016,2,5.71,1,2.86
Medium HDI,2017,4,11.43,1,2.94
Medium HDI,2018,4,11.43,1,2.94
Medium HDI,2019,8,22.86,3,8.57
Medium HDI,2020,7,20,2,5.71
Medium HDI,2021,4,11.43,2,5.71
Medium HDI,2022,3,8.57,1,2.86
Medium HDI,2023,11,31.43,..,..
Medium HDI,2024,10,28.57,..,..
Low HDI,2000,2,6.9,2,8.33
Low HDI,2001,2,6.9,2,8.33
Low HDI,2002,2,6.67,1,4.17
Low HDI,2003,2,6.67,1,4
Low HDI,2004,5,16.67,1,3.85
Low HDI,2005,3,10,1,3.7
Low HDI,2006,2,6.45,0,0
Low HDI,2007,4,12.9,1,3.57
Low HDI,2008,3,9.68,0,0
Low HDI,2009,0,0,0,0
Low HDI,2010,0,0,0,0
Low HDI,2011,0,0,0,0
Low HDI,2012,0,0,0,0
Low HDI,2013,0,0,0,0
Low HDI,2014,2,6.45,0,0
Low HDI,2015,0,0,0,0
Low HDI,2016,0,0,0,0
Low HDI,2017,0,0,1,3.57
Low HDI,2018,0,0,1,3.57
Low HDI,2019,2,6.45,2,7.41
Low HDI,2020,1,3.33,2,6.9
Low HDI,2021,5,16.67,5,17.86
Low HDI,2022,3,10,2,7.14
Low HDI,2023,9,31.03,..,..
Low HDI,2024,9,32.14,..,..
South Asia (SA),2000,1,14.29,0,0
South Asia (SA),2001,0,0,0,0
South Asia (SA),2002,0,0,0,0
South Asia (SA),2003,0,0,1,16.67
South Asia (SA),2004,1,14.29,0,0
South Asia (SA),2005,0,0,0,0
South Asia (SA),2006,0,0,0,0
South Asia (SA),2007,0,0,0,0
South Asia (SA),2008,0,0,0,0
South Asia (SA),2009,0,0,0,0
South Asia (SA),2010,0,0,0,0
South Asia (SA),2011,0,0,0,0
South Asia (SA),2012,2,25,0,0
South Asia (SA),2013,0,0,0,0
South Asia (SA),2014,1,12.5,0,0
South Asia (SA),2015,2,25,0,0
South Asia (SA),2016,0,0,0,0
South Asia (SA),2017,1,12.5,0,0
South Asia (SA),2018,2,25,1,12.5
South Asia (SA),2019,3,37.5,2,25
South Asia (SA),2020,3,37.5,2,25
South Asia (SA),2021,3,37.5,2,28.57
South Asia (SA),2022,3,37.5,1,14.29
South Asia (SA),2023,3,50,..,..
South Asia (SA),2024,2,40,..,..
Europe & Central Asia (ECA),2000,1,5.88,0,0
Europe & Central Asia (ECA),2001,2,11.11,1,7.14
Europe & Central Asia (ECA),2002,2,11.11,0,0
Europe & Central Asia (ECA),2003,1,5.56,0,0
Europe & Central Asia (ECA),2004,0,0,0,0
Europe & Central Asia (ECA),2005,0,0,0,0
Europe & Central Asia (ECA),2006,0,0,0,0
Europe & Central Asia (ECA),2007,0,0,0,0
Europe & Central Asia (ECA),2008,0,0,0,0
Europe & Central Asia (ECA),2009,0,0,0,0
Europe & Central Asia (ECA),2010,0,0,0,0
Europe & Central Asia (ECA),2011,0,0,0,0
Europe & Central Asia (ECA),2012,0,0,0,0
Europe & Central Asia (ECA),2013,1,5,0,0
Europe & Central Asia (ECA),2014,0,0,0,0
Europe & Central Asia (ECA),2015,3,15,2,10.53
Europe & Central Asia (ECA),2016,2,10,1,5.26
Europe & Central Asia (ECA),2017,1,5,0,0
Europe & Central Asia (ECA),2018,2,10,1,5.26
Europe & Central Asia (ECA),2019,3,15,0,0
Europe & Central Asia (ECA),2020,4,20,1,5.26
Europe & Central Asia (ECA),2021,4,20,1,5.26
Europe & Central Asia (ECA),2022,0,0,0,0
Europe & Central Asia (ECA),2023,1,5,..,..
Europe & Central Asia (ECA),2024,0,0,..,..
Middle East and North Africa (MENA),2000,5,55.56,3,37.5
Middle East and North Africa (MENA),2001,4,44.44,2,25
Middle East and North Africa (MENA),2002,3,33.33,3,33.33
Middle East and North Africa (MENA),2003,4,44.44,3,33.33
Middle East and North Africa (MENA),2004,2,22.22,2,22.22
Middle East and North Africa (MENA),2005,2,22.22,1,11.11
Middle East and North Africa (MENA),2006,3,33.33,2,22.22
Middle East and North Africa (MENA),2007,2,22.22,1,11.11
Middle East and North Africa (MENA),2008,2,20,0,0
Middle East and North Africa (MENA),2009,1,10,0,0
Middle East and North Africa (MENA),2010,1,10,0,0
Middle East and North Africa (MENA),2011,1,11.11,1,11.11
Middle East and North Africa (MENA),2012,1,11.11,0,0
Middle East and North Africa (MENA),2013,1,11.11,0,0
Middle East and North Africa (MENA),2014,1,11.11,0,0
Middle East and North Africa (MENA),2015,1,11.11,0,0
Middle East and North Africa (MENA),2016,1,11.11,1,11.11
Middle East and North Africa (MENA),2017,2,22.22,1,12.5
Middle East and North Africa (MENA),2018,1,11.11,1,12.5
Middle East and North Africa (MENA),2019,2,22.22,1,12.5
Middle East and North Africa (MENA),2020,2,22.22,2,25
Middle East and North Africa (MENA),2021,3,33.33,1,12.5
Middle East and North Africa (MENA),2022,2,22.22,0,0
Middle East and North Africa (MENA),2023,4,50,..,..
Middle East and North Africa (MENA),2024,4,50,..,..
East Asia & Pacific (EAP),2000,3,20,0,0
East Asia & Pacific (EAP),2001,3,20,0,0
East Asia & Pacific (EAP),2002,2,13.33,0,0
East Asia & Pacific (EAP),2003,3,20,1,7.14
East Asia & Pacific (EAP),2004,2,13.33,0,0
East Asia & Pacific (EAP),2005,1,6.67,0,0
East Asia & Pacific (EAP),2006,1,6.67,0,0
East Asia & Pacific (EAP),2007,0,0,0,0
East Asia & Pacific (EAP),2008,0,0,0,0
East Asia & Pacific (EAP),2009,1,6.67,0,0
East Asia & Pacific (EAP),2010,1,6.67,0,0
East Asia & Pacific (EAP),2011,0,0,0,0
East Asia & Pacific (EAP),2012,0,0,0,0
East Asia & Pacific (EAP),2013,0,0,0,0
East Asia & Pacific (EAP),2014,0,0,0,0
East Asia & Pacific (EAP),2015,1,6.25,0,0
East Asia & Pacific (EAP),2016,0,0,0,0
East Asia & Pacific (EAP),2017,0,0,0,0
East Asia & Pacific (EAP),2018,2,12.5,0,0
East Asia & Pacific (EAP),2019,1,6.25,0,0
East Asia & Pacific (EAP),2020,5,31.25,0,0
East Asia & Pacific (EAP),2021,3,18.75,0,0
East Asia & Pacific (EAP),2022,1,6.25,0,0
East Asia & Pacific (EAP),2023,1,6.25,..,..
East Asia & Pacific (EAP),2024,2,12.5,..,..
Latin America & Caribbean (LAC),2000,7,35,5,23.81
Latin America & Caribbean (LAC),2001,5,23.81,5,23.81
Latin America & Caribbean (LAC),2002,7,33.33,6,28.57
Latin America & Caribbean (LAC),2003,9,42.86,5,23.81
Latin America & Caribbean (LAC),2004,8,38.1,2,9.52
Latin America & Caribbean (LAC),2005,3,14.29,4,19.05
Latin America & Caribbean (LAC),2006,6,28.57,1,4.76
Latin America & Caribbean (LAC),2007,4,19.05,2,9.52
Latin America & Caribbean (LAC),2008,3,14.29,0,0
Latin America & Caribbean (LAC),2009,4,19.05,3,14.29
Latin America & Caribbean (LAC),2010,3,14.29,0,0
Latin America & Caribbean (LAC),2011,3,14.29,1,4.76
Latin America & Caribbean (LAC),2012,3,14.29,1,4.76
Latin America & Caribbean (LAC),2013,3,14.29,0,0
Latin America & Caribbean (LAC),2014,1,4.76,0,0
Latin America & Caribbean (LAC),2015,2,9.52,2,9.52
Latin America & Caribbean (LAC),2016,1,4.76,2,9.52
Latin America & Caribbean (LAC),2017,1,4.76,3,14.29
Latin America & Caribbean (LAC),2018,1,4.76,2,9.52
Latin America & Caribbean (LAC),2019,2,9.52,4,19.05
Latin America & Caribbean (LAC),2020,3,14.29,4,19.05
Latin America & Caribbean (LAC),2021,2,9.52,4,19.05
Latin America & Caribbean (LAC),2022,2,9.52,0,0
Latin America & Caribbean (LAC),2023,1,4.76,..,..
Latin America & Caribbean (LAC),2024,0,0,..,..
Sub-Saharan Africa (SSA),2000,8,19.51,4,11.76
Sub-Saharan Africa (SSA),2001,5,12.2,4,11.76
Sub-Saharan Africa (SSA),2002,6,14.29,2,5.88
Sub-Saharan Africa (SSA),2003,4,9.52,3,8.33
Sub-Saharan Africa (SSA),2004,4,9.52,2,5.41
Sub-Saharan Africa (SSA),2005,4,9.3,2,5.13
Sub-Saharan Africa (SSA),2006,3,6.98,1,2.56
Sub-Saharan Africa (SSA),2007,7,16.28,3,7.5
Sub-Saharan Africa (SSA),2008,4,9.3,1,2.5
Sub-Saharan Africa (SSA),2009,0,0,0,0
Sub-Saharan Africa (SSA),2010,0,0,0,0
Sub-Saharan Africa (SSA),2011,0,0,0,0
Sub-Saharan Africa (SSA),2012,0,0,1,2.44
Sub-Saharan Africa (SSA),2013,1,2.27,0,0
Sub-Saharan Africa (SSA),2014,2,4.55,0,0
Sub-Saharan Africa (SSA),2015,1,2.27,0,0
Sub-Saharan Africa (SSA),2016,2,4.55,1,2.38
Sub-Saharan Africa (SSA),2017,5,11.36,2,4.88
Sub-Saharan Africa (SSA),2018,4,9.09,2,4.88
Sub-Saharan Africa (SSA),2019,8,18.18,3,7.32
Sub-Saharan Africa (SSA),2020,6,13.95,5,11.63
Sub-Saharan Africa (SSA),2021,7,16.28,5,11.63
Sub-Saharan Africa (SSA),2022,4,9.3,2,4.76
Sub-Saharan Africa (SSA),2023,15,34.88,..,..
Sub-Saharan Africa (SSA),2024,16,37.21,..,..
