Group,year,totalDebtMedian,totalDebtQ1,totalDebtQ3,externalDebtMedian,externalDebtQ1,externalDebtQ3
Landlocked developing (LLDC),2004,49.4,26.9,80.9,40.4,27,65.3
Landlocked developing (LLDC),2005,43.8,25.4,75.1,35.7,20.5,48.3
Landlocked developing (LLDC),2006,25,18.2,43.3,16.3,13,33.7
Landlocked developing (LLDC),2007,22.1,16.5,41.5,16.5,12.3,33
Landlocked developing (LLDC),2008,20.6,15.1,36.8,13.3,9.7,28.2
Landlocked developing (LLDC),2009,23.5,16.1,38.1,14.9,11.1,25.9
Landlocked developing (LLDC),2010,23.7,16.7,37.2,15.4,10.2,24.5
Landlocked developing (LLDC),2011,23.5,14.6,35.7,14.2,9.8,23.9
Landlocked developing (LLDC),2012,27,17.2,38.6,15.4,11.7,23.7
Landlocked developing (LLDC),2013,27.8,18.1,38.6,17.1,12.7,23.7
Landlocked developing (LLDC),2014,31.5,21.2,41.7,17.3,12.3,24.9
Landlocked developing (LLDC),2015,35.2,24.8,49.2,20.1,14.2,30.9
Landlocked developing (LLDC),2016,38.7,24.9,52.3,20.6,15.4,31.7
Landlocked developing (LLDC),2017,39.8,27,55.8,21.8,15,34
Landlocked developing (LLDC),2018,42.2,31.6,53.5,21.9,15.3,33.6
Landlocked developing (LLDC),2019,42.4,32.7,55.6,22.8,17,35.5
Landlocked developing (LLDC),2020,48.1,40,65.7,29.1,17.2,42.8
Landlocked developing (LLDC),2021,51.8,39.5,62,28.3,16.7,38.3
Landlocked developing (LLDC),2022,49.6,35.7,63.3,25.8,15.7,33.5
Landlocked developing (LLDC),2023,50.5,37.1,62.4,,,
Landlocked developing (LLDC),2024,48.6,36.3,63.3,,,
Small island developing (SIDS),2000,41.6,34.3,56.4,33.4,21.5,51
Small island developing (SIDS),2001,46.1,35.2,53.7,34.9,22.1,55.9
Small island developing (SIDS),2002,48.3,36,65,41.3,25.8,56.1
Small island developing (SIDS),2003,45.6,37.9,68.8,41.9,25.7,51.2
Small island developing (SIDS),2004,46.3,34.3,69.6,39.9,23.5,53.5
Small island developing (SIDS),2005,43.3,31,66.7,32.4,18.3,49.6
Small island developing (SIDS),2006,39.6,30.4,63.5,29.9,18.1,53.2
Small island developing (SIDS),2007,35.8,28.8,57.8,28.5,15.9,53.2
Small island developing (SIDS),2008,34,28.6,55.5,27.3,17,49
Small island developing (SIDS),2009,39.7,21.4,59.9,30.2,16.9,47.3
Small island developing (SIDS),2010,40.3,23.9,61.4,33,15.5,50.2
Small island developing (SIDS),2011,41.5,21.8,59.5,24.7,14.4,49.5
Small island developing (SIDS),2012,47.4,22.1,61.9,21.7,14.3,51.4
Small island developing (SIDS),2013,47.4,25,62.2,22.6,14.1,52.1
Small island developing (SIDS),2014,46.2,23.3,61.9,23.3,12.8,52.4
Small island developing (SIDS),2015,44.7,25,64.1,23.2,14.3,52.6
Small island developing (SIDS),2016,49,24.5,72.9,26,14.4,46.4
Small island developing (SIDS),2017,48.9,24.6,69.7,27,14.1,47
Small island developing (SIDS),2018,49.4,24.4,69,33.8,14.1,43.7
Small island developing (SIDS),2019,49,25.9,77.4,36.9,17.4,40.1
Small island developing (SIDS),2020,63.6,23.3,94.5,39.6,20.8,53.9
Small island developing (SIDS),2021,63.2,27.6,86,42.1,24.6,53.9
Small island developing (SIDS),2022,59.5,28.5,82.3,38,25.3,51.5
Small island developing (SIDS),2023,60.9,29.6,81.9,,,
Small island developing (SIDS),2024,59.5,24.4,80.5,,,
Emerging market (EM),2000,44.3,34.9,64.6,28.4,18.6,40.7
Emerging market (EM),2001,45.1,37.1,65.6,27.8,17.3,39.4
Emerging market (EM),2002,49.2,36,69.9,30.3,18.3,45.2
Emerging market (EM),2003,46.2,33.5,66.5,29,17.8,42.2
Emerging market (EM),2004,44.8,30.2,59.2,25.9,15.1,40.5
Emerging market (EM),2005,38.6,26.9,54.8,21.3,12.4,33.9
Emerging market (EM),2006,36,22.5,51.6,18.7,10.4,29.9
Emerging market (EM),2007,32.9,19.4,48.3,16.6,10.7,28
Emerging market (EM),2008,31.4,20.2,48.9,15.6,8.8,22.1
Emerging market (EM),2009,36.7,23.3,54.4,17,11.7,26.5
Emerging market (EM),2010,39,22.7,53.1,16.9,10.1,26.5
Emerging market (EM),2011,38.9,23.1,53.7,15.8,9.9,25.8
Emerging market (EM),2012,37.6,22.2,57,16,11.3,29.1
Emerging market (EM),2013,40.5,25.6,57.7,17.2,12.6,30.5
Emerging market (EM),2014,43.3,26.9,61.7,18.1,12,31.1
Emerging market (EM),2015,45.2,32.8,64.1,21.4,12.7,36.7
Emerging market (EM),2016,49.8,33.4,69.7,24.2,14.4,38
Emerging market (EM),2017,52.5,32.8,69.2,26,13.8,38
Emerging market (EM),2018,51.8,34.2,69.9,25.9,13.6,37
Emerging market (EM),2019,52.4,38.2,76.3,26.7,13.1,38.9
Emerging market (EM),2020,65.7,43.4,87.1,32.2,16.8,44.1
Emerging market (EM),2021,64,41.6,83.1,29.3,17.6,43.5
Emerging market (EM),2022,62.8,40.3,79.2,29.2,16.4,38.9
Emerging market (EM),2023,60,39.2,82.7,,,
Emerging market (EM),2024,58,37.4,79.3,,,
Low income developing (LIDC),2000,80.2,49.9,95.8,60.4,42.6,88.3
Low income developing (LIDC),2001,74.6,51.7,106.9,58.7,41.7,80.8
Low income developing (LIDC),2002,65.7,48.2,107.9,57.6,42.9,86.9
Low income developing (LIDC),2003,62.2,43.1,107.1,54.8,41.4,81.2
Low income developing (LIDC),2004,53.6,40.7,96.5,47.9,35.9,71.6
Low income developing (LIDC),2005,52.5,37.1,79.8,40.1,30.8,62.5
Low income developing (LIDC),2006,38.2,22.9,69.1,27.6,14.9,54.5
Low income developing (LIDC),2007,33.6,22.1,54.3,22.3,14.7,48.7
Low income developing (LIDC),2008,33,21.2,56.1,20.9,13.4,39.2
Low income developing (LIDC),2009,31.7,21.7,51.8,22,14.8,36.6
Low income developing (LIDC),2010,30.5,21.7,43.5,19.5,13.6,28
Low income developing (LIDC),2011,29.1,21.1,42.5,18.5,11.7,27.6
Low income developing (LIDC),2012,29.6,21.5,38.4,18.2,12.3,24
Low income developing (LIDC),2013,31.2,23.7,41.4,17.3,13.5,25.6
Low income developing (LIDC),2014,35,25.1,44,19.9,12.8,27.9
Low income developing (LIDC),2015,39.7,29,53.7,21.5,14.5,30
Low income developing (LIDC),2016,40,31.2,57.2,21.6,16.1,31
Low income developing (LIDC),2017,41.1,32.9,57.1,22.2,17.8,34.1
Low income developing (LIDC),2018,43.2,35,59.2,22.9,16.8,36.6
Low income developing (LIDC),2019,42.4,37.7,59.8,25.8,18.2,38
Low income developing (LIDC),2020,48.7,41.2,68,28.9,19,45
Low income developing (LIDC),2021,51.8,42.1,66.6,28.4,18.6,40.9
Low income developing (LIDC),2022,52.9,39.4,68.4,26.4,18.5,39
Low income developing (LIDC),2023,53.6,40.2,72.1,,,
Low income developing (LIDC),2024,52.1,38.2,69.8,,,
Poorest (IDA eligible),2000,67.3,43.7,94.4,52.5,37.5,79.7
Poorest (IDA eligible),2001,63.5,49.2,99.6,54.4,35.7,74.7
Poorest (IDA eligible),2002,63.2,47.4,100.8,54.5,38.5,78.2
Poorest (IDA eligible),2003,56.8,43.3,95.4,51.5,39.5,77.1
Poorest (IDA eligible),2004,52.2,40.7,91.8,46.1,35.1,67.7
Poorest (IDA eligible),2005,49.9,37.9,78.7,39.3,30.3,60.2
Poorest (IDA eligible),2006,39.6,25.3,70.5,28,15.5,51.8
Poorest (IDA eligible),2007,35.8,22.3,54.8,23.9,15.1,48.6
Poorest (IDA eligible),2008,34.3,21.6,56.5,21.9,14.4,39.6
Poorest (IDA eligible),2009,34.1,21.8,55.1,23.3,16,37.5
Poorest (IDA eligible),2010,34.2,22.3,48,21,14.9,31.4
Poorest (IDA eligible),2011,32.7,21.7,49.4,19.7,14.2,29.9
Poorest (IDA eligible),2012,31,21.9,47.8,19.6,13.9,31.3
Poorest (IDA eligible),2013,34,24.2,49.1,19.4,14.6,32.1
Poorest (IDA eligible),2014,35.3,25.8,53.5,20.5,14.2,30.6
Poorest (IDA eligible),2015,42.2,29.1,57.8,23.2,15.8,34.8
Poorest (IDA eligible),2016,43.4,31.1,59.9,23.1,17.2,34.1
Poorest (IDA eligible),2017,44.1,32.6,61.7,25.4,19.4,37.9
Poorest (IDA eligible),2018,45.8,35.2,62.5,25.3,18.1,38
Poorest (IDA eligible),2019,44.7,37.9,66,28.3,19.2,39.5
Poorest (IDA eligible),2020,51.8,41.4,74.3,31.2,21.8,46.5
Poorest (IDA eligible),2021,52.6,42.4,74.7,31.5,22.1,45.1
Poorest (IDA eligible),2022,53.9,40.1,76.1,30.3,21.6,43.4
Poorest (IDA eligible),2023,54.2,40.3,77.8,,,
Poorest (IDA eligible),2024,54.3,38.4,72.7,,,
Heavily indebted poor (HIPC),2000,84,64.5,95.4,64,49.1,100.8
Heavily indebted poor (HIPC),2001,82.1,62.1,115.3,59.7,45.6,100.3
Heavily indebted poor (HIPC),2002,84.6,55.2,129.6,60.9,48.4,101
Heavily indebted poor (HIPC),2003,80.6,46.3,113.2,62.5,47.5,98.8
Heavily indebted poor (HIPC),2004,77.8,43,117.7,58,42.7,82.6
Heavily indebted poor (HIPC),2005,66.6,45,97.1,47.7,37.8,62.7
Heavily indebted poor (HIPC),2006,38.5,21.3,82.7,22.1,13.7,60.2
Heavily indebted poor (HIPC),2007,30.9,21,57.2,22,14.1,46.1
Heavily indebted poor (HIPC),2008,32.8,19.6,57.8,19.4,12.3,32.3
Heavily indebted poor (HIPC),2009,29.3,21.2,47.3,18.4,13.3,30.9
Heavily indebted poor (HIPC),2010,30.3,21.3,41.2,18.8,12.7,26.5
Heavily indebted poor (HIPC),2011,28.4,22.1,37.1,18.2,11.6,24.5
Heavily indebted poor (HIPC),2012,27.9,23.1,35.4,16.2,13,21.9
Heavily indebted poor (HIPC),2013,32.7,24.1,39.3,17.1,14,23
Heavily indebted poor (HIPC),2014,35.1,25.4,43.3,19.2,13.4,24.5
Heavily indebted poor (HIPC),2015,39.5,30.3,53.1,22.2,16.4,29.9
Heavily indebted poor (HIPC),2016,39.8,32.5,56.7,21.6,17.6,29.4
Heavily indebted poor (HIPC),2017,41.3,34.9,56.2,24,19.8,31.8
Heavily indebted poor (HIPC),2018,42.9,37.2,59.2,23.1,18.7,33.6
Heavily indebted poor (HIPC),2019,45.3,40.1,59.3,26.2,20.1,38
Heavily indebted poor (HIPC),2020,52.4,44.9,70,30,23,45.3
Heavily indebted poor (HIPC),2021,53.3,47.7,70,29,21.7,42.1
Heavily indebted poor (HIPC),2022,54.2,46.2,75.9,28.4,21.7,39.1
Heavily indebted poor (HIPC),2023,55.7,45,76.3,,,
Heavily indebted poor (HIPC),2024,55.6,42.6,69.9,,,
Very high HDI,2000,55.9,40.8,57.8,23.4,19.9,31.4
Very high HDI,2001,53,44.4,58.2,24,17.1,28.3
Very high HDI,2002,54.9,40.5,71.6,20.9,16.4,37.2
Very high HDI,2003,47.5,40.7,66.1,19.6,12.4,33.1
Very high HDI,2004,44.8,36,57.7,15.8,9.5,27.8
Very high HDI,2005,39.7,30.2,50.5,11.6,7.3,21.4
Very high HDI,2006,37.3,24.3,40.8,12.6,6.7,21.5
Very high HDI,2007,31.5,20.9,38.2,12.2,7.5,17.4
Very high HDI,2008,32.4,23.1,38.2,10.5,6.5,17.4
Very high HDI,2009,38.1,30.9,45.4,12.3,9.2,21.1
Very high HDI,2010,39.6,30.6,43.8,12,10,19.6
Very high HDI,2011,39,29.1,49.4,11.4,9.4,20.1
Very high HDI,2012,38.7,31.2,53.8,11.6,10.1,24.7
Very high HDI,2013,39.5,30.4,55.8,14.1,11.3,25
Very high HDI,2014,41.1,29.8,56.3,13.9,11.3,25.4
Very high HDI,2015,47.6,33.8,58.5,15.6,11.7,32.8
Very high HDI,2016,48.6,36.5,57.6,18.8,13.7,38.9
Very high HDI,2017,50.1,36.1,57.1,18.2,13.3,37.8
Very high HDI,2018,49.7,36.1,57.7,19.1,12.7,31.6
Very high HDI,2019,46.4,38.1,62.5,20.8,12.8,30
Very high HDI,2020,58.2,45.5,74.4,20.2,15.9,33.7
Very high HDI,2021,57.3,41,72.1,23.5,15.4,31.1
Very high HDI,2022,57,37.1,66.8,20.3,13.4,30.5
Very high HDI,2023,55,36.6,63.7,,,
Very high HDI,2024,54.9,36.8,65,,,
High HDI,2000,43.8,35.8,70.3,32,21.6,40.3
High HDI,2001,45,37.3,67.1,31.5,19.6,43.5
High HDI,2002,47.6,35.2,67.1,33.1,20.5,46.8
High HDI,2003,45.2,32.6,62.2,29.8,22.6,44.4
High HDI,2004,40,30.4,57.7,27.3,20,40.6
High HDI,2005,38.4,28,50.4,23.4,15,34.7
High HDI,2006,35,22.6,48,20.3,13.1,31.3
High HDI,2007,32.9,18.7,48.2,18.2,11.3,29.9
High HDI,2008,31,20.4,47.9,15.9,9.1,24.2
High HDI,2009,36.2,26,51.5,17.1,11,27.5
High HDI,2010,37.3,24.3,53.4,17.5,10.8,27.3
High HDI,2011,36.9,23.1,54.9,16.6,10,26.6
High HDI,2012,40.8,21.4,60.2,16.9,11,28.3
High HDI,2013,41.4,27.4,59.6,20.5,11.7,30.1
High HDI,2014,44,27.5,61.8,20.2,11.4,30.2
High HDI,2015,46.1,37,68.9,22.2,14.9,35.7
High HDI,2016,49.8,39.8,75.4,25.7,16.8,37.2
High HDI,2017,49.4,37.4,71.6,26.4,18.4,38.4
High HDI,2018,52.2,34.5,69.5,28.3,17.4,37.3
High HDI,2019,52.4,40.4,67.4,26.2,17.9,38.5
High HDI,2020,65.7,43.2,83.4,32.2,22.7,44.3
High HDI,2021,64,42.4,83.3,29.5,20.7,44.2
High HDI,2022,62.8,40.5,79.9,30.7,17.3,39.5
High HDI,2023,54.7,38.1,82.8,,,
High HDI,2024,56.8,37.8,80.8,,,
Medium HDI,2000,57.4,33.5,80.8,50.8,27.8,80
Medium HDI,2001,56.3,33.3,84.1,51.7,28.1,75
Medium HDI,2002,58.1,38.6,84.9,49.9,31.8,74.1
Medium HDI,2003,56,38.3,85.9,46.7,29.5,77.3
Medium HDI,2004,50.4,36.7,83.2,41.9,27.6,68.6
Medium HDI,2005,45.5,32.7,73.7,35.8,22.7,53.7
Medium HDI,2006,38.8,25.4,57.3,29.3,15,46.2
Medium HDI,2007,34.6,22.1,54.1,24.2,14.4,42
Medium HDI,2008,33.5,21,52.3,20.9,13.6,32.6
Medium HDI,2009,34.5,21.6,56.7,22,14.3,38.9
Medium HDI,2010,36,21.5,47.6,19.2,13.8,31.8
Medium HDI,2011,32.4,22.5,47,18.4,13,29.9
Medium HDI,2012,30.2,24.6,45.9,16.4,13.9,27.8
Medium HDI,2013,32,24.5,45,16.9,13.5,29.2
Medium HDI,2014,33.9,24.4,49.8,20.5,12.7,30.1
Medium HDI,2015,38.3,27.2,59.1,22.3,12.5,35.1
Medium HDI,2016,42.2,26.3,59.6,22.4,12.1,38.5
Medium HDI,2017,43.8,27.1,61.8,25.6,11.9,38.1
Medium HDI,2018,45.3,30.3,61.3,24.9,12.6,43.5
Medium HDI,2019,43.5,33,72.1,27.5,15,44.8
Medium HDI,2020,51.8,37.5,78.4,32.4,16,47.4
Medium HDI,2021,54.5,37.9,80.3,30.8,15.1,44.5
Medium HDI,2022,49.2,33.4,76,29.7,15.7,39
Medium HDI,2023,49.5,35.5,83.2,,,
Medium HDI,2024,47.2,35.5,70.4,,,
Low HDI,2000,89.3,60,105.6,57.9,42.7,78.7
Low HDI,2001,83.1,55,121.4,59.1,42.5,73.5
Low HDI,2002,82.6,52,121.7,58.4,42.4,80
Low HDI,2003,79.5,44.4,114.5,55.2,41.4,75.8
Low HDI,2004,74.7,44.5,103.1,49.9,36.7,68.6
Low HDI,2005,61.6,42.9,97.5,43.4,31.9,61.7
Low HDI,2006,40.4,20.7,85,21.9,13.9,60.2
Low HDI,2007,34.6,19.3,52.7,22,14.4,49.1
Low HDI,2008,34.8,19.3,57.8,20.3,13,40.5
Low HDI,2009,29.9,21.1,51.6,19.7,14.1,29.9
Low HDI,2010,29.5,21.8,42.7,19.5,13.6,24.9
Low HDI,2011,27,21.4,43.2,18.6,11.6,24.1
Low HDI,2012,29.3,21.1,39.5,18.2,12.2,23
Low HDI,2013,33.3,23.2,45.2,17.7,14.7,23.8
Low HDI,2014,35.8,25.8,45.9,18.3,14.1,24.5
Low HDI,2015,42.2,30.8,56.7,20.4,15.7,26.9
Low HDI,2016,42.2,35.2,60,20.8,17.3,26.7
Low HDI,2017,41.6,36.4,60.9,21.8,19.5,31.7
Low HDI,2018,46.2,37.4,62.3,22.6,18.1,33.1
Low HDI,2019,46.7,40.3,64,25,18.8,36.5
Low HDI,2020,51.9,44.1,67.6,28.8,19.9,40.9
Low HDI,2021,53.3,46,70,28.1,19.5,38.1
Low HDI,2022,54.2,46,72.1,25.8,19.2,37.8
Low HDI,2023,58.7,50.4,75.8,,,
Low HDI,2024,56.5,48.4,71.3,,,
South Asia (SA),2000,56.2,46,71.6,27.4,23.7,41.4
South Asia (SA),2001,59,51.3,76.4,27.8,23.3,39.4
