group,year,netInterest,netInterestMin,netInterestMax,
Middle income (MIC),2008,3.89,1.43,9.33,
Middle income (MIC),2009,4.10,1.88,9.77,
Middle income (MIC),2010,4.21,1.68,9.31,
Middle income (MIC),2011,4.19,1.61,9.44,
Middle income (MIC),2012,4.06,1.67,8.72,
Middle income (MIC),2013,4.62,1.54,8.62,
Middle income (MIC),2014,4.99,1.77,9.42,
Middle income (MIC),2015,5.44,2.06,10.59,
Middle income (MIC),2016,5.59,2.43,11.03,
Middle income (MIC),2017,5.96,2.61,11.24,
Middle income (MIC),2018,6.76,3.15,11.65,
Middle income (MIC),2019,7.15,3.11,11.99,
Middle income (MIC),2020,7.19,3.22,13.60,
Middle income (MIC),2021,6.42,3.12,13.91,
Middle income (MIC),2022,6.58,3.48,13.70,
Middle income (MIC),2023,7.24,3.55,13.96,
Middle income (MIC),2024,8.28,3.83,14.76,
Middle income (MIC),2025,8.87,4.07,15.23,
Least developed (LDC),2000,7.98,4.69,12.50,
Least developed (LDC),2001,7.32,4.00,11.78,
Least developed (LDC),2002,7.52,4.83,11.80,
Least developed (LDC),2003,6.90,3.84,11.98,
Least developed (LDC),2004,6.20,3.54,9.60,
Least developed (LDC),2005,5.02,3.04,9.74,
Least developed (LDC),2006,4.34,1.85,6.57,
Least developed (LDC),2007,4.19,1.95,7.29,
Least developed (LDC),2008,3.81,1.91,7.79,
Least developed (LDC),2009,3.56,1.80,7.89,
Least developed (LDC),2010,2.72,1.26,6.10,
Least developed (LDC),2011,3.12,1.63,6.67,
Least developed (LDC),2012,3.16,1.49,6.27,
Least developed (LDC),2013,2.85,1.43,6.23,
Least developed (LDC),2014,3.30,1.71,6.97,
Least developed (LDC),2015,3.68,1.74,7.38,
Least developed (LDC),2016,4.53,1.66,8.04,
Least developed (LDC),2017,4.48,1.57,8.15,
Least developed (LDC),2018,4.94,1.77,9.90,
Least developed (LDC),2019,4.79,2.24,9.41,
Least developed (LDC),2020,5.19,1.52,10.66,
Least developed (LDC),2021,5.45,1.75,10.84,
Least developed (LDC),2022,6.57,2.13,11.18,
Least developed (LDC),2023,7.01,2.26,13.79,
Least developed (LDC),2024,7.90,3.50,15.17,
Least developed (LDC),2025,8.87,2.79,15.58,
Landlocked developing (LLDC),2000,5.55,4.54,10.00,
Landlocked developing (LLDC),2001,5.67,3.69,10.04,
Landlocked developing (LLDC),2002,6.12,4.01,8.93,
Landlocked developing (LLDC),2003,5.13,3.34,8.01,
Landlocked developing (LLDC),2004,4.14,3.09,6.48,
Landlocked developing (LLDC),2005,3.48,2.51,6.27,
Landlocked developing (LLDC),2006,2.93,1.35,4.43,
Landlocked developing (LLDC),2007,2.40,1.56,4.74,
Landlocked developing (LLDC),2008,2.26,1.13,4.44,
Landlocked developing (LLDC),2009,2.30,1.51,4.10,
Landlocked developing (LLDC),2010,2.41,1.57,4.18,
Landlocked developing (LLDC),2011,2.34,1.39,3.46,
Landlocked developing (LLDC),2012,2.53,1.47,4.02,
Landlocked developing (LLDC),2013,2.67,1.49,4.12,
Landlocked developing (LLDC),2014,2.64,1.72,3.56,
Landlocked developing (LLDC),2015,2.70,2.07,4.38,
Landlocked developing (LLDC),2016,3.69,2.04,4.82,
Landlocked developing (LLDC),2017,3.67,1.84,4.70,
Landlocked developing (LLDC),2018,4.12,2.45,6.85,
Landlocked developing (LLDC),2019,3.98,2.66,6.91,
Landlocked developing (LLDC),2020,4.45,2.77,7.30,
Landlocked developing (LLDC),2021,5.01,2.65,7.14,
Landlocked developing (LLDC),2022,5.89,2.98,8.68,
Landlocked developing (LLDC),2023,7.00,3.26,10.50,
Landlocked developing (LLDC),2024,7.25,4.63,11.70,
Landlocked developing (LLDC),2025,8.35,5.14,11.97,
Small island developing (SIDS),2000,7.64,2.97,12.60,
Small island developing (SIDS),2001,7.55,2.07,11.72,
Small island developing (SIDS),2002,7.00,3.47,13.64,
Small island developing (SIDS),2003,8.39,2.12,13.14,
Small island developing (SIDS),2004,7.55,2.94,13.44,
Small island developing (SIDS),2005,5.93,2.38,10.30,
Small island developing (SIDS),2006,5.06,1.98,8.43,
Small island developing (SIDS),2007,4.34,1.02,9.65,
Small island developing (SIDS),2008,3.92,2.06,8.19,
Small island developing (SIDS),2009,3.77,1.93,9.77,
Small island developing (SIDS),2010,3.87,1.16,9.31,
Small island developing (SIDS),2011,3.86,1.42,10.43,
Small island developing (SIDS),2012,3.67,1.46,10.21,
Small island developing (SIDS),2013,5.27,0.66,9.13,
Small island developing (SIDS),2014,3.67,0.77,8.93,
Small island developing (SIDS),2015,4.30,0.68,9.60,
Small island developing (SIDS),2016,4.34,0.65,10.95,
Small island developing (SIDS),2017,4.03,0.44,10.41,
Small island developing (SIDS),2018,4.35,0.53,10.25,
Small island developing (SIDS),2019,6.24,1.04,10.67,
Small island developing (SIDS),2020,6.54,1.32,12.37,
Small island developing (SIDS),2021,5.66,0.80,10.35,
Small island developing (SIDS),2022,4.93,1.20,11.72,
Small island developing (SIDS),2023,4.04,1.23,12.29,
Small island developing (SIDS),2024,8.04,1.71,14.49,
Small island developing (SIDS),2025,8.10,1.08,13.42,
Emerging market (EM),2000,10.32,5.19,18.08,
Emerging market (EM),2001,9.97,3.90,18.42,
Emerging market (EM),2002,8.46,3.68,16.19,
Emerging market (EM),2003,9.27,2.66,15.42,
Emerging market (EM),2004,7.10,2.89,14.21,
Emerging market (EM),2005,6.52,2.47,12.44,
Emerging market (EM),2006,5.56,1.88,11.47,
Emerging market (EM),2007,5.22,1.61,10.84,
Emerging market (EM),2008,4.60,1.34,10.27,
Emerging market (EM),2009,4.49,1.79,11.39,
Emerging market (EM),2010,4.26,1.78,11.65,
Emerging market (EM),2011,4.69,1.61,10.76,
Emerging market (EM),2012,4.50,1.76,11.47,
Emerging market (EM),2013,5.27,1.79,11.45,
Emerging market (EM),2014,5.43,1.97,11.20,
Emerging market (EM),2015,6.83,2.44,11.38,
Emerging market (EM),2016,6.94,2.74,11.87,
Emerging market (EM),2017,7.41,2.94,12.41,
Emerging market (EM),2018,7.45,3.69,12.62,
Emerging market (EM),2019,7.63,4.26,12.51,
Emerging market (EM),2020,8.08,4.23,16.13,
Emerging market (EM),2021,7.41,4.01,14.75,
Emerging market (EM),2022,7.47,3.75,13.70,
Emerging market (EM),2023,7.68,3.92,13.60,
Emerging market (EM),2024,8.72,3.98,14.83,
Emerging market (EM),2025,9.84,4.44,15.01,
Low income developing (LIDC),2000,10.00,5.12,14.50,
Low income developing (LIDC),2001,8.26,4.42,14.03,
Low income developing (LIDC),2002,8.04,4.59,13.87,
Low income developing (LIDC),2003,7.57,3.84,14.03,
Low income developing (LIDC),2004,6.12,3.75,9.79,
Low income developing (LIDC),2005,5.86,2.94,10.62,
Low income developing (LIDC),2006,4.34,2.09,7.05,
Low income developing (LIDC),2007,4.19,2.09,7.30,
Low income developing (LIDC),2008,3.48,1.68,8.05,
Low income developing (LIDC),2009,3.58,1.93,7.95,
Low income developing (LIDC),2010,2.72,1.60,6.04,
Low income developing (LIDC),2011,2.91,1.68,6.60,
Low income developing (LIDC),2012,3.03,1.55,6.33,
Low income developing (LIDC),2013,3.11,1.43,6.68,
Low income developing (LIDC),2014,3.29,1.70,7.20,
Low income developing (LIDC),2015,3.68,1.90,8.06,
Low income developing (LIDC),2016,4.59,2.10,8.36,
Low income developing (LIDC),2017,4.68,2.18,9.11,
Low income developing (LIDC),2018,5.22,2.45,9.99,
Low income developing (LIDC),2019,5.01,2.89,10.62,
Low income developing (LIDC),2020,5.64,2.76,11.97,
Low income developing (LIDC),2021,6.02,2.38,11.77,
Low income developing (LIDC),2022,6.15,2.97,11.44,
Low income developing (LIDC),2023,7.01,3.08,13.89,
Low income developing (LIDC),2024,7.65,4.08,14.63,
Low income developing (LIDC),2025,8.66,5.12,14.94,
Poorest (IDA eligible),2000,9.29,4.62,13.88,
Poorest (IDA eligible),2001,8.26,3.59,13.81,
Poorest (IDA eligible),2002,8.15,4.23,14.46,
Poorest (IDA eligible),2003,7.83,3.78,14.29,
Poorest (IDA eligible),2004,6.65,3.40,11.52,
Poorest (IDA eligible),2005,5.93,3.04,10.98,
Poorest (IDA eligible),2006,4.40,2.00,8.82,
Poorest (IDA eligible),2007,4.19,2.03,7.84,
Poorest (IDA eligible),2008,3.48,1.79,8.09,
Poorest (IDA eligible),2009,3.66,1.91,8.34,
Poorest (IDA eligible),2010,2.97,1.64,7.50,
Poorest (IDA eligible),2011,3.53,1.68,7.14,
Poorest (IDA eligible),2012,3.37,1.62,7.03,
Poorest (IDA eligible),2013,3.47,1.50,7.89,
Poorest (IDA eligible),2014,3.31,1.87,7.98,
Poorest (IDA eligible),2015,3.80,1.91,9.35,
Poorest (IDA eligible),2016,4.56,2.13,10.11,
Poorest (IDA eligible),2017,4.68,1.99,10.16,
Poorest (IDA eligible),2018,5.24,2.31,10.13,
Poorest (IDA eligible),2019,5.45,2.60,10.71,
Poorest (IDA eligible),2020,5.94,2.34,12.50,
Poorest (IDA eligible),2021,6.23,2.09,12.05,
Poorest (IDA eligible),2022,6.81,2.27,12.01,
Poorest (IDA eligible),2023,7.01,2.29,13.64,
Poorest (IDA eligible),2024,8.04,3.38,14.63,
Poorest (IDA eligible),2025,8.87,2.91,14.65,
Heavily indebted poor (HIPC),2000,11.11,6.68,15.79,
Heavily indebted poor (HIPC),2001,10.23,5.94,15.58,
Heavily indebted poor (HIPC),2002,10.34,5.54,16.06,
Heavily indebted poor (HIPC),2003,10.46,5.27,15.52,
Heavily indebted poor (HIPC),2004,7.57,4.43,14.05,
Heavily indebted poor (HIPC),2005,6.16,3.64,11.65,
Heavily indebted poor (HIPC),2006,4.61,2.50,7.33,
Heavily indebted poor (HIPC),2007,5.27,2.39,7.66,
Heavily indebted poor (HIPC),2008,3.94,1.91,7.79,
Heavily indebted poor (HIPC),2009,3.56,2.10,7.78,
Heavily indebted poor (HIPC),2010,2.72,1.72,6.10,
Heavily indebted poor (HIPC),2011,3.37,1.81,6.59,
Heavily indebted poor (HIPC),2012,2.90,1.78,6.22,
Heavily indebted poor (HIPC),2013,2.63,1.61,6.52,
Heavily indebted poor (HIPC),2014,3.30,2.08,6.73,
Heavily indebted poor (HIPC),2015,3.68,2.67,7.74,
Heavily indebted poor (HIPC),2016,4.63,2.99,9.28,
Heavily indebted poor (HIPC),2017,4.70,2.94,10.37,
Heavily indebted poor (HIPC),2018,5.69,4.07,11.09,
Heavily indebted poor (HIPC),2019,6.22,3.90,11.43,
Heavily indebted poor (HIPC),2020,6.04,4.25,12.50,
Heavily indebted poor (HIPC),2021,6.88,4.09,11.70,
Heavily indebted poor (HIPC),2022,7.78,4.49,11.90,
Heavily indebted poor (HIPC),2023,9.80,5.01,13.86,
Heavily indebted poor (HIPC),2024,11.48,6.28,14.61,
Heavily indebted poor (HIPC),2025,10.89,6.62,14.87,
Very high HDI,2000,16.62,7.65,20.31,
Very high HDI,2001,8.89,6.15,20.62,
Very high HDI,2002,6.99,2.40,14.00,
Very high HDI,2003,4.83,2.10,14.32,
Very high HDI,2004,4.39,2.72,9.60,
Very high HDI,2005,4.92,2.82,8.94,
Very high HDI,2006,3.76,2.11,8.57,
Very high HDI,2007,2.49,1.52,8.05,
Very high HDI,2008,3.46,1.36,7.60,
Very high HDI,2009,3.60,1.82,7.33,
Very high HDI,2010,3.09,2.21,7.43,
Very high HDI,2011,3.99,3.18,6.96,
Very high HDI,2012,4.34,3.47,6.16,
Very high HDI,2013,5.08,2.30,6.36,
Very high HDI,2014,5.22,2.54,7.17,
Very high HDI,2015,5.12,4.16,7.37,
Very high HDI,2016,5.14,4.12,7.63,
Very high HDI,2017,5.51,4.34,7.66,
Very high HDI,2018,5.06,4.55,9.41,
Very high HDI,2019,5.04,4.57,10.08,
Very high HDI,2020,6.12,4.74,7.81,
Very high HDI,2021,5.42,4.10,7.41,
Very high HDI,2022,4.30,3.83,7.53,
Very high HDI,2023,5.49,4.37,8.64,
Very high HDI,2024,5.93,4.81,8.68,
Very high HDI,2025,6.71,5.01,10.18,
High HDI,2000,10.41,5.10,17.68,
High HDI,2001,9.96,4.46,17.43,
High HDI,2002,8.46,3.89,16.19,
High HDI,2003,10.17,3.43,14.81,
High HDI,2004,9.06,2.99,14.02,
High HDI,2005,8.30,2.57,11.96,
High HDI,2006,6.16,2.04,10.94,
High HDI,2007,6.32,1.74,10.28,
High HDI,2008,4.82,1.63,9.32,
High HDI,2009,4.88,1.90,10.47,
High HDI,2010,4.96,1.92,10.50,
High HDI,2011,4.70,1.71,10.59,
High HDI,2012,5.44,1.92,11.92,
High HDI,2013,6.54,1.77,12.51,
High HDI,2014,5.85,1.87,11.55,
High HDI,2015,7.59,2.48,12.04,
High HDI,2016,8.91,2.76,13.12,
High HDI,2017,7.94,3.49,13.09,
High HDI,2018,7.82,3.77,13.05,
High HDI,2019,7.63,4.12,13.03,
High HDI,2020,8.99,3.98,16.41,
High HDI,2021,7.79,3.79,15.21,
High HDI,2022,7.72,3.80,13.76,
High HDI,2023,7.42,3.96,14.21,
High HDI,2024,11.00,4.94,15.09,
High HDI,2025,11.75,5.19,15.96,
Medium HDI,2000,9.57,4.33,14.18,
Medium HDI,2001,9.96,2.28,13.65,
Medium HDI,2002,9.38,2.71,15.23,
Medium HDI,2003,8.16,2.38,14.54,
Medium HDI,2004,6.86,3.02,11.94,
Medium HDI,2005,6.14,2.46,11.42,
Medium HDI,2006,4.24,1.85,9.52,
Medium HDI,2007,3.65,1.87,8.62,
Medium HDI,2008,3.77,1.38,8.88,
Medium HDI,2009,3.53,1.83,8.24,
Medium HDI,2010,2.82,1.31,8.43,
Medium HDI,2011,2.95,1.46,7.56,
Medium HDI,2012,2.72,1.50,7.84,
Medium HDI,2013,3.42,1.13,8.49,
Medium HDI,2014,3.09,1.28,8.63,
Medium HDI,2015,3.17,1.79,9.39,
Medium HDI,2016,3.58,2.05,9.90,
Medium HDI,2017,4.39,1.56,9.34,
Medium HDI,2018,5.24,2.13,10.17,
Medium HDI,2019,4.82,2.50,11.10,
Medium HDI,2020,6.04,2.25,12.29,
Medium HDI,2021,6.28,1.92,13.19,
Medium HDI,2022,5.89,2.15,13.52,
Medium HDI,2023,7.52,2.44,13.51,
Medium HDI,2024,7.31,3.09,14.32,
Medium HDI,2025,8.07,2.76,14.33,
Low HDI,2000,10.00,4.70,14.09,
Low HDI,2001,8.10,4.64,14.12,
Low HDI,2002,8.46,5.63,12.78,
Low HDI,2003,8.01,5.15,15.61,
Low HDI,2004,6.30,3.92,9.89,
Low HDI,2005,5.86,3.22,10.29,
Low HDI,2006,4.80,3.08,7.17,
Low HDI,2007,4.47,2.40,7.65,
Low HDI,2008,3.94,1.91,7.77,
Low HDI,2009,3.66,2.04,7.91,
Low HDI,2010,2.97,1.85,6.33,
Low HDI,2011,4.09,1.84,7.89,
Low HDI,2012,3.67,1.83,6.59,
Low HDI,2013,3.45,2.31,7.89,
Low HDI,2014,3.41,2.20,8.58,
Low HDI,2015,4.43,2.67,10.68,
Low HDI,2016,5.76,3.58,10.45,
Low HDI,2017,5.58,3.00,10.66,
Low HDI,2018,5.53,3.47,11.64,
Low HDI,2019,5.52,3.50,11.39,
Low HDI,2020,6.77,3.45,13.72,
Low HDI,2021,7.41,3.67,12.22,
Low HDI,2022,8.37,4.49,11.90,
Low HDI,2023,10.25,4.14,14.27,
Low HDI,2024,11.48,6.64,16.12,
Low HDI,2025,10.89,7.43,15.88,
South Asia (SA),2000,16.13,6.77,28.64,
South Asia (SA),2001,16.23,3.81,32.96,
South Asia (SA),2002,16.27,4.93,30.76,
South Asia (SA),2003,16.55,5.57,25.67,
South Asia (SA),2004,15.47,4.48,24.92,
South Asia (SA),2005,10.56,3.27,23.60,
South Asia (SA),2006,10.75,2.62,21.67,
South Asia (SA),2007,11.29,2.32,23.22,
South Asia (SA),2008,15.64,3.97,25.48,
South Asia (SA),2009,16.05,6.61,27.00,
South Asia (SA),2010,13.92,5.33,24.34,
South Asia (SA),2011,11.52,5.96,24.46,
South Asia (SA),2012,13.66,5.56,25.01,
South Asia (SA),2013,13.18,6.69,25.68,
South Asia (SA),2014,12.65,4.85,25.09,
South Asia (SA),2015,14.18,4.67,25.26,
South Asia (SA),2016,12.54,4.13,24.16,
South Asia (SA),2017,11.95,3.85,24.53,
South Asia (SA),2018,12.06,3.58,24.81,
South Asia (SA),2019,13.37,3.43,28.97,
South Asia (SA),2020,15.70,2.52,33.56,
South Asia (SA),2021,15.59,3.23,28.94,
South Asia (SA),2022,16.84,5.43,28.41,
South Asia (SA),2023,12.29,6.94,25.19,
South Asia (SA),2024,18.91,10.73,24.06,
South Asia (SA),2025,18.53,10.50,24.30,
Europe & Central Asia (ECA),2000,10.14,2.85,16.63,
Europe & Central Asia (ECA),2001,7.16,2.09,10.33,
Europe & Central Asia (ECA),2002,3.92,1.32,7.19,
Europe & Central Asia (ECA),2003,2.72,1.38,6.50,
Europe & Central Asia (ECA),2004,3.04,1.28,5.08,
Europe & Central Asia (ECA),2005,2.56,1.07,3.30,
Europe & Central Asia (ECA),2006,2.09,1.15,2.92,
Europe & Central Asia (ECA),2007,1.61,0.83,2.07,
Europe & Central Asia (ECA),2008,1.40,0.80,1.99,
Europe & Central Asia (ECA),2009,1.91,0.64,2.61,
Europe & Central Asia (ECA),2010,2.12,1.06,3.09,
Europe & Central Asia (ECA),2011,2.55,0.92,3.99,
Europe & Central Asia (ECA),2012,2.72,0.84,4.40,
Europe & Central Asia (ECA),2013,2.48,1.16,4.87,
Europe & Central Asia (ECA),2014,2.14,1.02,5.50,
Europe & Central Asia (ECA),2015,2.52,1.39,5.80,
Europe & Central Asia (ECA),2016,3.94,1.32,5.14,
Europe & Central Asia (ECA),2017,3.67,1.40,5.51,
Europe & Central Asia (ECA),2018,3.84,1.58,5.06,
Europe & Central Asia (ECA),2019,3.13,1.33,5.01,
Europe & Central Asia (ECA),2020,3.72,1.52,6.12,
Europe & Central Asia (ECA),2021,3.54,1.74,5.34,
Europe & Central Asia (ECA),2022,3.28,1.51,4.07,
Europe & Central Asia (ECA),2023,4.30,1.93,5.36,
Europe & Central Asia (ECA),2024,4.48,2.68,5.85,
Europe & Central Asia (ECA),2025,5.12,2.82,6.71,
Middle East and North Africa (MENA),2000,12.04,3.27,16.62,
Middle East and North Africa (MENA),2001,9.97,1.87,13.66,
Middle East and North Africa (MENA),2002,8.56,2.08,13.97,
Middle East and North Africa (MENA),2003,5.85,1.97,13.61,
Middle East and North Africa (MENA),2004,5.21,1.08,12.27,
Middle East and North Africa (MENA),2005,5.51,1.20,11.98,
Middle East and North Africa (MENA),2006,5.05,1.28,11.53,
Middle East and North Africa (MENA),2007,5.15,1.52,10.50,
Middle East and North Africa (MENA),2008,4.80,1.09,8.22,
Middle East and North Africa (MENA),2009,5.41,1.00,9.01,
Middle East and North Africa (MENA),2010,4.98,0.99,8.55,
Middle East and North Africa (MENA),2011,7.12,0.82,12.64,
Middle East and North Africa (MENA),2012,7.32,0.72,14.73,
Middle East and North Africa (MENA),2013,7.52,0.80,17.66,
Middle East and North Africa (MENA),2014,7.23,0.67,18.31,
Middle East and North Africa (MENA),2015,8.14,1.19,22.13,
Middle East and North Africa (MENA),2016,9.77,2.64,25.95,
Middle East and North Africa (MENA),2017,6.71,3.60,10.44,
Middle East and North Africa (MENA),2018,6.66,2.43,11.39,
Middle East and North Africa (MENA),2019,8.92,2.95,12.69,
Middle East and North Africa (MENA),2020,12.27,3.53,18.60,
Middle East and North Africa (MENA),2021,9.43,1.77,14.27,
Middle East and North Africa (MENA),2022,7.78,3.84,11.05,
Middle East and North Africa (MENA),2023,7.52,2.76,16.06,
Middle East and North Africa (MENA),2024,11.19,6.40,18.89,
Middle East and North Africa (MENA),2025,11.31,6.30,19.79,
East Asia & Pacific (EAP),2000,5.32,2.56,10.49,
East Asia & Pacific (EAP),2001,4.13,1.85,10.00,
East Asia & Pacific (EAP),2002,4.38,2.00,8.66,
East Asia & Pacific (EAP),2003,3.83,1.26,7.92,
East Asia & Pacific (EAP),2004,3.25,2.06,7.52,
East Asia & Pacific (EAP),2005,3.03,1.61,6.44,
East Asia & Pacific (EAP),2006,2.72,1.24,5.45,
East Asia & Pacific (EAP),2007,2.85,0.96,6.01,
East Asia & Pacific (EAP),2008,2.68,1.12,5.64,
East Asia & Pacific (EAP),2009,2.08,1.19,5.85,
East Asia & Pacific (EAP),2010,2.07,1.09,5.54,
East Asia & Pacific (EAP),2011,2.69,0.84,5.89,
East Asia & Pacific (EAP),2012,2.95,1.29,5.49,
East Asia & Pacific (EAP),2013,3.88,1.03,5.68,
East Asia & Pacific (EAP),2014,3.19,0.72,7.62,
East Asia & Pacific (EAP),2015,3.14,0.64,8.45,
East Asia & Pacific (EAP),2016,3.47,0.58,9.26,
East Asia & Pacific (EAP),2017,3.53,0.41,8.81,
East Asia & Pacific (EAP),2018,3.77,0.43,9.12,
East Asia & Pacific (EAP),2019,3.94,0.44,8.72,
East Asia & Pacific (EAP),2020,4.24,0.49,9.74,
East Asia & Pacific (EAP),2021,4.64,0.64,9.40,
East Asia & Pacific (EAP),2022,3.97,1.10,10.16,
East Asia & Pacific (EAP),2023,4.06,0.96,11.61,
East Asia & Pacific (EAP),2024,3.75,0.86,13.13,
East Asia & Pacific (EAP),2025,4.08,1.01,13.60,
Latin America & Caribbean (LAC),2000,9.75,8.06,15.09,
Latin America & Caribbean (LAC),2001,12.29,8.50,17.87,
Latin America & Caribbean (LAC),2002,11.89,8.25,16.52,
Latin America & Caribbean (LAC),2003,11.87,9.98,15.44,
Latin America & Caribbean (LAC),2004,11.09,7.64,14.61,
Latin America & Caribbean (LAC),2005,9.70,7.77,13.45,
Latin America & Caribbean (LAC),2006,8.43,5.55,12.21,
Latin America & Caribbean (LAC),2007,8.16,5.12,11.68,
Latin America & Caribbean (LAC),2008,6.59,4.35,10.98,
Latin America & Caribbean (LAC),2009,5.96,3.94,13.47,
Latin America & Caribbean (LAC),2010,7.58,3.48,13.27,
Latin America & Caribbean (LAC),2011,6.99,3.50,12.36,
Latin America & Caribbean (LAC),2012,6.87,3.19,12.75,
